Regija,YearMonth,SO2,PM10,NO2
Goriška,2003-11,6.0,34.0,30.0
Koroška,2003-11,8.0,,
Posavska,2003-11,33.5,26.0,
Pomurska,2003-11,5.0,38.0,11.0
Podravska,2003-11,9.0,49.5,36.0
Posavska,2003-12,34.5,25.0,
Pomurska,2003-12,6.0,46.0,13.0
Koroška,2003-12,8.0,,
Podravska,2003-12,15.0,49.0,36.0
Osrednjeslovenska,2003-12,9.5,49.0,23.0
Goriška,2003-12,7.0,36.0,36.0
Zasavska,2003-12,38.5,53.0,19.5
Savinjska,2003-12,18.571428571428573,39.0,17.0
Podravska,2004-01,8.0,46.5,34.0
Savinjska,2004-01,15.555555555555555,44.333333333333336,25.5
Posavska,2004-01,20.0,25.0,9.0
Zasavska,2004-01,25.142857142857142,41.0,24.5
Goriška,2004-01,6.0,36.0,33.0
Pomurska,2004-01,6.0,41.0,14.0
Koroška,2004-01,8.0,,
Osrednjeslovenska,2004-01,10.5,51.0,23.0
Savinjska,2004-02,12.666666666666666,41.666666666666664,27.0
Koroška,2004-02,7.0,,
Pomurska,2004-02,9.0,29.0,18.0
Podravska,2004-02,9.0,44.0,36.0
Osrednjeslovenska,2004-02,12.0,44.0,24.5
Zasavska,2004-02,32.857142857142854,40.0,17.0
Goriška,2004-02,6.0,42.0,31.0
Posavska,2004-02,46.5,28.0,7.0
Osrednjeslovenska,2004-03,12.0,47.0,23.5
Zasavska,2004-03,34.857142857142854,51.333333333333336,20.5
Savinjska,2004-03,12.0,42.333333333333336,25.75
Posavska,2004-03,23.0,35.0,4.0
Goriška,2004-03,6.0,38.0,26.0
Pomurska,2004-03,5.0,36.0,10.0
Koroška,2004-03,10.0,,
Podravska,2004-03,10.0,56.0,37.0
Zasavska,2004-04,18.857142857142858,40.0,21.5
Osrednjeslovenska,2004-04,8.0,38.0,16.5
Pomurska,2004-04,4.0,30.0,8.0
Koroška,2004-04,5.0,,
Podravska,2004-04,9.0,42.5,33.0
Goriška,2004-04,3.0,31.0,26.0
Posavska,2004-04,23.5,28.0,4.0
Savinjska,2004-04,7.666666666666667,33.333333333333336,19.0
Koroška,2004-05,7.0,,
Savinjska,2004-05,7.222222222222222,23.333333333333332,15.25
Osrednjeslovenska,2004-05,5.0,30.0,13.5
Goriška,2004-05,5.0,25.0,20.0
Posavska,2004-05,24.5,22.0,9.0
Zasavska,2004-05,19.428571428571427,29.0,19.5
Podravska,2004-05,8.0,37.5,32.0
Pomurska,2004-05,3.0,25.0,10.0
Posavska,2004-06,22.0,19.0,
Koroška,2004-06,3.0,,
Osrednjeslovenska,2004-06,4.0,31.0,12.5
Podravska,2004-06,6.0,32.5,24.0
Pomurska,2004-06,4.0,26.0,9.0
Zasavska,2004-06,8.0,30.0,17.5
Goriška,2004-06,8.0,31.0,20.0
Savinjska,2004-06,10.25,25.0,8.0
Koroška,2004-07,4.0,,
Osrednjeslovenska,2004-07,4.0,37.0,10.5
Zasavska,2004-07,8.857142857142858,34.0,16.5
Goriška,2004-07,5.0,33.0,18.0
Posavska,2004-07,22.0,24.0,1.0
Savinjska,2004-07,10.0,28.333333333333332,11.25
Pomurska,2004-07,3.0,32.0,8.0
Podravska,2004-07,7.0,35.5,25.0
Goriška,2004-08,3.0,34.0,20.0
Posavska,2004-08,24.5,24.0,2.0
Savinjska,2004-08,8.555555555555555,28.666666666666668,10.5
Pomurska,2004-08,5.0,27.0,9.0
Podravska,2004-08,6.0,37.0,28.0
Zasavska,2004-08,24.428571428571427,32.666666666666664,18.0
Osrednjeslovenska,2004-08,4.0,38.0,10.5
Koroška,2004-08,6.0,,
Koroška,2004-09,6.0,,
Osrednjeslovenska,2004-09,8.5,39.0,13.5
Zasavska,2004-09,24.428571428571427,36.0,15.5
Savinjska,2004-09,10.5,30.0,9.333333333333334
Posavska,2004-09,14.0,24.0,2.0
Goriška,2004-09,7.0,34.0,20.0
Pomurska,2004-09,4.0,29.0,10.0
Podravska,2004-09,6.0,38.0,25.0
Podravska,2004-10,8.0,40.0,28.0
Pomurska,2004-10,4.0,29.0,10.0
Goriška,2004-10,7.0,33.0,20.0
Osrednjeslovenska,2004-10,5.5,36.0,23.0
Zasavska,2004-10,19.714285714285715,35.666666666666664,19.0
Posavska,2004-10,16.5,24.0,2.0
Koroška,2004-10,4.0,,
Savinjska,2004-10,9.75,29.666666666666668,9.666666666666666
Osrednjeslovenska,2004-11,9.5,45.0,20.0
Goriška,2004-11,10.0,38.0,31.0
Podravska,2004-11,10.0,44.0,33.0
Pomurska,2004-11,6.0,29.0,13.0
Savinjska,2004-11,11.222222222222221,27.666666666666668,20.25
Koroška,2004-11,4.0,,
Zasavska,2004-11,33.42857142857143,37.333333333333336,17.0
Posavska,2004-11,17.0,21.0,5.0
Podravska,2004-12,8.0,49.0,31.0
Posavska,2004-12,17.0,29.0,7.0
Zasavska,2004-12,69.42857142857143,60.666666666666664,30.5
Osrednjeslovenska,2004-12,14.5,52.0,22.5
Koroška,2004-12,10.0,,
Pomurska,2004-12,6.0,41.0,13.0
Goriška,2004-12,16.0,36.0,37.0
Savinjska,2004-12,15.666666666666666,35.0,19.0
Koroška,2005-01,6.0,,
Posavska,2005-01,40.5,26.0,
Podravska,2005-01,11.0,53.5,32.0
Zasavska,2005-01,32.714285714285715,54.333333333333336,19.0
Pomurska,2005-01,6.0,50.0,14.0
Osrednjeslovenska,2005-01,8.5,60.0,24.5
Savinjska,2005-01,13.444444444444445,40.333333333333336,15.75
Goriška,2005-01,8.0,40.0,34.0
Pomurska,2005-02,12.0,63.0,23.0
Podravska,2005-02,14.0,60.0,40.0
Savinjska,2005-02,13.666666666666666,51.666666666666664,20.0
Osrednjeslovenska,2005-02,18.5,50.0,20.0
Goriška,2005-02,9.0,37.0,32.0
Zasavska,2005-02,46.714285714285715,59.0,18.5
Posavska,2005-02,16.0,38.0,
Koroška,2005-02,9.0,,
Goriška,2005-03,12.0,43.0,34.0
Pomurska,2005-03,9.0,52.0,17.0
Podravska,2005-03,10.0,59.5,43.0
Zasavska,2005-03,38.142857142857146,61.0,24.5
Posavska,2005-03,34.0,40.0,
Koroška,2005-03,9.0,,
Savinjska,2005-03,11.777777777777779,47.333333333333336,17.333333333333332
Osrednjeslovenska,2005-03,11.0,48.0,19.5
Koroška,2005-04,7.0,,
Zasavska,2005-04,11.428571428571429,42.0,15.5
Posavska,2005-04,24.5,23.0,
