Regija,YearMonth,SO2,PM10,NO2
Osrednjeslovenska,2012-06,3.0,23.75,22.333333333333332
Obalno-kraška,2012-06,,20.0,13.0
Savinjska,2012-06,5.714285714285714,19.5,10.0
Pomurska,2012-06,,18.0,12.0
Zasavska,2012-06,5.5,20.0,9.75
Gorenjska,2012-06,,17.0,
Koroška,2012-06,1.0,19.0,
Jugovzhodna Slovenija,2012-06,6.0,17.0,1.0
Podravska,2012-06,2.0,20.5,18.5
Goriška,2012-06,,17.0,21.0
Posavska,2012-06,2.5,23.0,5.0
Gorenjska,2012-07,,17.0,
Podravska,2012-07,6.0,20.5,15.0
Jugovzhodna Slovenija,2012-07,9.0,15.5,2.0
Koroška,2012-07,2.0,20.0,
Zasavska,2012-07,7.125,20.0,8.25
Osrednjeslovenska,2012-07,5.333333333333333,25.75,21.666666666666668
Pomurska,2012-07,,16.0,14.0
Posavska,2012-07,3.5,23.0,5.0
Savinjska,2012-07,5.714285714285714,19.5,9.0
Goriška,2012-07,,16.666666666666668,18.0
Obalno-kraška,2012-07,,21.0,14.0
Podravska,2012-08,2.0,21.0,18.0
Obalno-kraška,2012-08,,21.0,15.0
Pomurska,2012-08,,18.0,17.0
Savinjska,2012-08,5.428571428571429,20.0,12.333333333333334
Jugovzhodna Slovenija,2012-08,5.0,15.0,2.0
Osrednjeslovenska,2012-08,4.0,27.0,25.333333333333332
Koroška,2012-08,4.0,19.0,
Posavska,2012-08,3.0,21.0,6.0
Goriška,2012-08,,17.0,22.0
Gorenjska,2012-08,,19.0,
Zasavska,2012-08,5.0,19.4,9.0
Posavska,2012-09,2.5,20.0,6.0
Obalno-kraška,2012-09,,19.0,12.0
Goriška,2012-09,,17.666666666666668,24.0
Savinjska,2012-09,5.571428571428571,21.5,11.333333333333334
Gorenjska,2012-09,,19.0,
Osrednjeslovenska,2012-09,2.6666666666666665,25.0,26.0
Podravska,2012-09,2.0,25.5,18.0
Jugovzhodna Slovenija,2012-09,3.0,16.5,1.0
Zasavska,2012-09,5.75,20.0,9.0
Koroška,2012-09,2.0,20.0,
Pomurska,2012-09,,19.0,19.0
Posavska,2012-10,3.5,21.0,7.0
Obalno-kraška,2012-10,,23.0,12.0
Savinjska,2012-10,5.0,23.0,14.666666666666666
Pomurska,2012-10,,25.0,20.0
Goriška,2012-10,,20.333333333333332,25.0
Osrednjeslovenska,2012-10,3.0,26.25,25.333333333333332
Koroška,2012-10,1.0,23.0,
Gorenjska,2012-10,,24.0,
Podravska,2012-10,5.0,27.5,22.0
Jugovzhodna Slovenija,2012-10,3.0,22.0,2.0
Zasavska,2012-10,5.625,22.2,12.6
Jugovzhodna Slovenija,2012-11,5.0,26.0,2.0
Osrednjeslovenska,2012-11,3.0,29.25,28.0
Pomurska,2012-11,,37.0,20.0
Obalno-kraška,2012-11,,23.0,20.0
Zasavska,2012-11,4.5,28.6,14.4
Koroška,2012-11,2.0,30.0,
Gorenjska,2012-11,,29.0,
Podravska,2012-11,5.0,29.5,26.0
Savinjska,2012-11,5.142857142857143,31.0,16.0
Posavska,2012-11,4.5,22.0,9.0
Goriška,2012-11,,24.0,30.0
Posavska,2012-12,4.0,19.0,14.0
Obalno-kraška,2012-12,,25.0,33.0
Pomurska,2012-12,,48.0,26.0
Savinjska,2012-12,5.285714285714286,32.5,20.0
Goriška,2012-12,,27.333333333333332,41.0
Gorenjska,2012-12,,41.0,
Koroška,2012-12,2.0,37.0,
Podravska,2012-12,2.0,28.5,30.5
Jugovzhodna Slovenija,2012-12,2.0,26.0,3.0
Zasavska,2012-12,4.25,35.6,18.0
Osrednjeslovenska,2012-12,2.3333333333333335,37.0,40.0
Goriška,2013-01,,32.0,38.0
Pomurska,2013-01,,54.0,28.0
Posavska,2013-01,5.0,29.0,
Obalno-kraška,2013-01,,28.0,34.0
Gorenjska,2013-01,,40.0,
Koroška,2013-01,2.0,49.0,
Osrednjeslovenska,2013-01,3.6666666666666665,35.5,34.666666666666664
Savinjska,2013-01,7.444444444444445,30.6,24.0
Jugovzhodna Slovenija,2013-01,,30.5,
Podravska,2013-01,,42.0,41.5
Zasavska,2013-01,6.5,28.0,18.0
Gorenjska,2013-02,,39.0,
Savinjska,2013-02,5.666666666666667,32.0,23.8
Posavska,2013-02,5.0,22.0,
Obalno-kraška,2013-02,,19.0,22.0
Koroška,2013-02,3.0,55.0,
Jugovzhodna Slovenija,2013-02,,34.5,
Osrednjeslovenska,2013-02,3.0,35.75,37.666666666666664
Goriška,2013-02,,25.0,33.0
Pomurska,2013-02,,44.0,28.0
Zasavska,2013-02,7.625,30.0,15.4
Podravska,2013-02,,34.0,25.5
Osrednjeslovenska,2013-03,4.0,30.5,33.333333333333336
Obalno-kraška,2013-03,,20.0,22.0
Posavska,2013-03,5.0,,
Savinjska,2013-03,3.888888888888889,26.0,18.2
Pomurska,2013-03,,32.0,19.0
Goriška,2013-03,,20.0,31.0
Zasavska,2013-03,7.125,22.571428571428573,13.4
Podravska,2013-03,,28.0,27.0
Jugovzhodna Slovenija,2013-03,,23.5,
Koroška,2013-03,2.0,27.0,
Gorenjska,2013-03,,27.0,
Gorenjska,2013-04,,21.0,
Koroška,2013-04,3.0,23.0,
Goriška,2013-04,,21.0,24.0
Zasavska,2013-04,5.375,21.714285714285715,12.2
Savinjska,2013-04,3.6666666666666665,22.4,11.8
Obalno-kraška,2013-04,,22.0,21.0
Osrednjeslovenska,2013-04,3.3333333333333335,25.75,26.333333333333332
Pomurska,2013-04,,27.0,16.0
Jugovzhodna Slovenija,2013-04,,20.0,
Posavska,2013-04,4.0,25.0,
Podravska,2013-04,,27.0,21.0
Zasavska,2013-05,4.875,15.857142857142858,10.0
Posavska,2013-05,4.0,17.0,
Goriška,2013-05,,15.0,18.0
Obalno-kraška,2013-05,,15.0,12.0
Podravska,2013-05,,16.5,16.0
Pomurska,2013-05,,15.0,11.0
Koroška,2013-05,5.0,15.0,
Savinjska,2013-05,3.0,13.4,7.8
Jugovzhodna Slovenija,2013-05,,13.0,
Osrednjeslovenska,2013-05,2.0,19.75,22.0
Gorenjska,2013-05,,13.0,
Koroška,2013-06,1.0,15.0,
Zasavska,2013-06,4.0,14.428571428571429,12.2
Savinjska,2013-06,3.4444444444444446,13.4,6.8
Gorenjska,2013-06,,14.0,
Jugovzhodna Slovenija,2013-06,,12.0,
Goriška,2013-06,,16.0,17.0
Pomurska,2013-06,,16.0,12.0
Posavska,2013-06,4.0,19.0,
Obalno-kraška,2013-06,,15.0,14.0
Podravska,2013-06,,18.0,17.0
Osrednjeslovenska,2013-06,3.6666666666666665,20.5,20.0
Zasavska,2013-07,6.375,18.285714285714285,12.6
Pomurska,2013-07,,19.0,11.0
Posavska,2013-07,5.0,24.0,
Koroška,2013-07,2.0,18.0,
Goriška,2013-07,,17.0,17.0
Savinjska,2013-07,4.222222222222222,17.0,8.2
Jugovzhodna Slovenija,2013-07,,15.0,
Osrednjeslovenska,2013-07,3.0,28.0,19.666666666666668
Obalno-kraška,2013-07,,19.0,14.0
Podravska,2013-07,,23.0,19.5
Gorenjska,2013-07,,20.0,
Koroška,2013-08,3.0,19.0,
Goriška,2013-08,,16.0,17.0
Podravska,2013-08,,21.5,18.0
Savinjska,2013-08,4.111111111111111,17.8,9.2
Obalno-kraška,2013-08,,18.0,15.0
Pomurska,2013-08,,19.0,10.0
Posavska,2013-08,5.0,23.0,
Zasavska,2013-08,6.875,18.428571428571427,15.0
Osrednjeslovenska,2013-08,3.6666666666666665,24.75,21.0
Jugovzhodna Slovenija,2013-08,,15.0,
Gorenjska,2013-08,,17.0,
Osrednjeslovenska,2013-09,4.0,22.75,22.333333333333332
Savinjska,2013-09,2.7777777777777777,14.4,10.6
Obalno-kraška,2013-09,,15.0,15.0
Gorenjska,2013-09,,14.0,
Posavska,2013-09,4.0,17.0,
Zasavska,2013-09,6.75,17.142857142857142,16.8
Pomurska,2013-09,,15.0,11.0
Koroška,2013-09,4.0,13.0,
Goriška,2013-09,,15.0,19.0
Podravska,2013-09,,16.0,17.5
Jugovzhodna Slovenija,2013-09,,11.0,
Osrednjeslovenska,2013-10,3.0,28.0,24.666666666666668
Koroška,2013-10,2.0,19.0,
Gorenjska,2013-10,,22.0,
Pomurska,2013-10,,25.0,8.0
Obalno-kraška,2013-10,,22.0,16.0
Zasavska,2013-10,7.875,18.571428571428573,20.0
Savinjska,2013-10,3.3333333333333335,20.6,12.8
Goriška,2013-10,,23.0,21.0
Posavska,2013-10,4.0,22.0,
Jugovzhodna Slovenija,2013-10,,18.0,
Podravska,2013-10,,23.5,22.5
Posavska,2013-11,4.0,17.0,
Osrednjeslovenska,2013-11,2.0,27.75,24.333333333333332
Podravska,2013-11,,19.0,23.5
Jugovzhodna Slovenija,2013-11,,16.5,
Gorenjska,2013-11,,22.0,
Koroška,2013-11,4.0,21.0,
Pomurska,2013-11,,29.0,12.0
Obalno-kraška,2013-11,,13.0,23.0
Goriška,2013-11,,18.0,25.0
Zasavska,2013-11,6.0,17.285714285714285,23.4
Savinjska,2013-11,3.5555555555555554,19.0,13.8
Koroška,2013-12,6.0,39.0,
Goriška,2013-12,,40.0,40.0
Savinjska,2013-12,4.125,33.4,21.8
Obalno-kraška,2013-12,,34.0,38.0
Zasavska,2013-12,6.875,31.857142857142858,30.2
Pomurska,2013-12,,44.0,21.0
Gorenjska,2013-12,,45.0,
Posavska,2013-12,5.0,26.0,
Jugovzhodna Slovenija,2013-12,,31.0,
Osrednjeslovenska,2013-12,3.0,47.25,37.333333333333336
Podravska,2013-12,,35.0,34.0
Osrednjeslovenska,2014-01,5.333333333333333,34.75,27.0
Podravska,2014-01,,34.0,32.0
Koroška,2014-01,3.0,24.0,
Pomurska,2014-01,,39.0,18.0
Zasavska,2014-01,7.25,22.857142857142858,21.8
Obalno-kraška,2014-01,,31.0,26.0
Goriška,2014-01,,35.0,29.0
Savinjska,2014-01,5.0,29.2,19.4
Gorenjska,2014-01,,32.0,
Posavska,2014-01,5.0,27.0,
Jugovzhodna Slovenija,2014-01,,26.0,
Obalno-kraška,2014-02,,18.0,15.0
Zasavska,2014-02,6.125,21.714285714285715,20.0
Koroška,2014-02,5.0,23.0,
Posavska,2014-02,5.0,22.0,
Podravska,2014-02,,25.0,28.0
Jugovzhodna Slovenija,2014-02,,21.0,
Gorenjska,2014-02,,30.0,
Goriška,2014-02,,22.0,29.0
Savinjska,2014-02,3.4444444444444446,28.0,18.0
Osrednjeslovenska,2014-02,3.0,32.5,32.666666666666664
Pomurska,2014-02,,30.0,17.0
Zasavska,2014-03,4.375,29.428571428571427,18.0
Goriška,2014-03,,31.0,26.0
Obalno-kraška,2014-03,,28.0,19.0
Pomurska,2014-03,,32.0,14.0
Podravska,2014-03,,28.0,22.0
Posavska,2014-03,6.0,31.0,
Savinjska,2014-03,4.888888888888889,31.2,18.2
Koroška,2014-03,3.0,25.0,
Jugovzhodna Slovenija,2014-03,,25.5,
Gorenjska,2014-03,,32.0,
Osrednjeslovenska,2014-03,3.6666666666666665,37.0,31.0
Osrednjeslovenska,2014-04,4.0,23.5,24.666666666666668
Posavska,2014-04,5.0,22.0,
Jugovzhodna Slovenija,2014-04,,16.0,
Obalno-kraška,2014-04,,19.0,18.0
Pomurska,2014-04,,21.0,11.0
Goriška,2014-04,,19.0,23.0
Gorenjska,2014-04,,17.0,
Koroška,2014-04,2.0,20.0,
Zasavska,2014-04,4.75,19.571428571428573,15.0
Savinjska,2014-04,4.555555555555555,19.2,12.4
Podravska,2014-04,,21.0,18.5
Zasavska,2014-05,4.25,13.142857142857142,10.0
Obalno-kraška,2014-05,,13.0,14.0
Goriška,2014-05,,14.0,17.0
Gorenjska,2014-05,,13.0,
Savinjska,2014-05,3.4444444444444446,13.8,10.4
Podravska,2014-05,,17.0,18.0
Osrednjeslovenska,2014-05,4.666666666666667,18.25,18.333333333333332
Koroška,2014-05,3.0,16.0,
Jugovzhodna Slovenija,2014-05,,11.0,
Posavska,2014-05,4.0,16.0,
Pomurska,2014-05,,14.0,8.0
Obalno-kraška,2014-06,,16.0,14.0
Posavska,2014-06,4.0,21.0,
Savinjska,2014-06,3.6666666666666665,15.8,11.4
Goriška,2014-06,,15.0,15.0
Pomurska,2014-06,,17.0,8.0
Zasavska,2014-06,4.375,15.142857142857142,10.4
Jugovzhodna Slovenija,2014-06,,12.0,
Koroška,2014-06,4.0,17.0,
Osrednjeslovenska,2014-06,3.6666666666666665,19.5,19.666666666666668
Podravska,2014-06,,16.5,18.5
Gorenjska,2014-06,,13.0,
Posavska,2014-07,3.0,20.0,
Goriška,2014-07,,12.0,16.0
Pomurska,2014-07,,15.0,7.0
Gorenjska,2014-07,,12.0,
Savinjska,2014-07,3.5555555555555554,14.2,10.0
Zasavska,2014-07,5.375,13.428571428571429,12.6
Obalno-kraška,2014-07,,14.0,14.0
Koroška,2014-07,1.0,16.0,
Jugovzhodna Slovenija,2014-07,,12.5,
Podravska,2014-07,,16.5,15.0
Osrednjeslovenska,2014-07,3.0,19.5,19.666666666666668
Koroška,2014-08,1.0,15.0,
Jugovzhodna Slovenija,2014-08,,11.0,
Podravska,2014-08,,14.0,15.0
Savinjska,2014-08,3.7777777777777777,13.4,10.4
Gorenjska,2014-08,,11.0,
Posavska,2014-08,5.0,19.0,
Osrednjeslovenska,2014-08,2.6666666666666665,16.75,18.0
Zasavska,2014-08,4.25,11.857142857142858,8.6
Pomurska,2014-08,,12.0,6.0
Obalno-kraška,2014-08,,12.0,11.0
Goriška,2014-08,,12.0,15.0
Savinjska,2014-09,4.0,15.4,12.0
Obalno-kraška,2014-09,,16.0,16.0
Goriška,2014-09,,16.0,16.0
Posavska,2014-09,5.0,20.0,
Gorenjska,2014-09,,18.0,
Podravska,2014-09,,17.5,16.5
Zasavska,2014-09,5.0,14.285714285714286,10.2
Pomurska,2014-09,,17.0,10.0
Osrednjeslovenska,2014-09,4.0,20.75,23.0
Jugovzhodna Slovenija,2014-09,,14.0,
Koroška,2014-09,2.0,19.0,
Jugovzhodna Slovenija,2014-10,,18.5,
Goriška,2014-10,,22.0,16.0
Osrednjeslovenska,2014-10,4.0,25.25,25.333333333333332
Koroška,2014-10,2.0,21.0,
Zasavska,2014-10,4.5,20.142857142857142,12.6
Pomurska,2014-10,,29.0,15.0
Podravska,2014-10,,25.5,22.0
Posavska,2014-10,5.0,29.0,
Obalno-kraška,2014-10,,17.0,13.0
Gorenjska,2014-10,,23.0,
Savinjska,2014-10,5.222222222222222,22.6,14.8
Jugovzhodna Slovenija,2014-11,,22.5,
Goriška,2014-11,,23.0,15.0
Osrednjeslovenska,2014-11,3.6666666666666665,28.5,25.0
Obalno-kraška,2014-11,,22.0,19.0
Gorenjska,2014-11,,30.0,
Posavska,2014-11,6.0,28.0,
Podravska,2014-11,,31.5,25.5
Pomurska,2014-11,,38.0,12.0
Zasavska,2014-11,5.875,24.857142857142858,14.0
Savinjska,2014-11,4.111111111111111,27.6,16.8
Koroška,2014-11,3.0,22.0,
Jugovzhodna Slovenija,2014-12,,9.5,
Osrednjeslovenska,2014-12,3.6666666666666665,27.5,28.333333333333332
Goriška,2014-12,,31.0,12.0
Obalno-kraška,2014-12,,23.0,25.0
Koroška,2014-12,2.0,29.0,
Posavska,2014-12,8.0,19.0,
Zasavska,2014-12,4.375,19.714285714285715,14.6
Pomurska,2014-12,,36.0,16.0
Podravska,2014-12,,24.5,27.0
Gorenjska,2014-12,,32.0,
Savinjska,2014-12,4.111111111111111,24.8,20.6
Goriška,2015-01,,36.0,29.0
Posavska,2015-01,9.0,27.0,
Podravska,2015-01,,35.5,40.0
Savinjska,2015-01,4.888888888888889,30.0,23.6
Obalno-kraška,2015-01,,27.0,25.0
Pomurska,2015-01,,40.0,20.0
Koroška,2015-01,3.0,30.0,
Gorenjska,2015-01,,40.0,
Osrednjeslovenska,2015-01,5.333333333333333,40.25,33.333333333333336
Zasavska,2015-01,4.625,25.428571428571427,17.4
Jugovzhodna Slovenija,2015-01,,29.5,12.0
Podravska,2015-02,,31.5,39.0
Pomurska,2015-02,,41.0,18.0
Obalno-kraška,2015-02,,21.0,18.0
Jugovzhodna Slovenija,2015-02,,30.5,12.0
Goriška,2015-02,,28.0,19.0
Posavska,2015-02,8.0,22.0,
Osrednjeslovenska,2015-02,3.0,37.25,33.333333333333336
Zasavska,2015-02,4.125,26.571428571428573,20.2
Gorenjska,2015-02,,37.0,
Savinjska,2015-02,4.555555555555555,30.6,21.0
Koroška,2015-02,2.0,32.0,
Goriška,2015-03,,24.0,24.0
Gorenjska,2015-03,,34.0,
Osrednjeslovenska,2015-03,4.666666666666667,34.75,27.333333333333332
Zasavska,2015-03,5.375,28.428571428571427,17.6
Koroška,2015-03,3.0,31.0,
Podravska,2015-03,,29.5,37.0
Obalno-kraška,2015-03,,23.0,15.0
Posavska,2015-03,8.0,31.0,
Jugovzhodna Slovenija,2015-03,,24.5,7.0
Savinjska,2015-03,4.666666666666667,30.8,17.2
Pomurska,2015-03,,33.0,14.0
Goriška,2015-04,,18.0,23.0
Jugovzhodna Slovenija,2015-04,,12.5,6.0
Koroška,2015-04,2.0,18.0,
Podravska,2015-04,,18.5,32.0
Obalno-kraška,2015-04,,20.0,14.0
Savinjska,2015-04,4.0,17.4,11.8
Pomurska,2015-04,,17.0,11.0
Zasavska,2015-04,6.125,17.857142857142858,13.2
Gorenjska,2015-04,,17.0,
Posavska,2015-04,9.0,22.0,
Osrednjeslovenska,2015-04,4.666666666666667,23.0,21.0
Zasavska,2015-05,5.625,12.714285714285714,11.0
Osrednjeslovenska,2015-05,4.666666666666667,19.25,18.666666666666668
Koroška,2015-05,5.0,18.0,
Gorenjska,2015-05,,16.0,
Pomurska,2015-05,,14.0,8.0
Podravska,2015-05,,16.5,29.0
Obalno-kraška,2015-05,,15.0,11.0
Jugovzhodna Slovenija,2015-05,,11.5,5.0
Posavska,2015-05,6.0,16.0,
Savinjska,2015-05,4.333333333333333,13.4,11.0
Goriška,2015-05,,14.0,17.0
Obalno-kraška,2015-06,,16.0,13.0
Posavska,2015-06,4.0,21.0,
Zasavska,2015-06,5.375,15.428571428571429,10.4
Osrednjeslovenska,2015-06,4.333333333333333,21.0,18.666666666666668
Savinjska,2015-06,2.888888888888889,16.2,10.0
Goriška,2015-06,,16.0,15.0
Pomurska,2015-06,,17.0,10.0
Podravska,2015-06,,17.5,27.0
Gorenjska,2015-06,,17.0,
Jugovzhodna Slovenija,2015-06,,16.0,4.0
Koroška,2015-06,7.0,30.0,
Koroška,2015-07,7.0,22.0,
Savinjska,2015-07,4.111111111111111,16.2,9.8
Gorenjska,2015-07,,19.0,
Jugovzhodna Slovenija,2015-07,,17.5,5.0
Posavska,2015-07,4.0,20.0,
Goriška,2015-07,,20.0,16.0
Obalno-kraška,2015-07,,21.0,14.0
Pomurska,2015-07,,18.0,9.0
Podravska,2015-07,,18.0,26.0
Zasavska,2015-07,4.25,15.428571428571429,10.6
Osrednjeslovenska,2015-07,3.3333333333333335,22.0,18.666666666666668
Pomurska,2015-08,,24.0,9.0
Podravska,2015-08,,17.5,28.0
Posavska,2015-08,4.0,19.0,
Jugovzhodna Slovenija,2015-08,,19.5,7.0
Osrednjeslovenska,2015-08,2.6666666666666665,22.0,20.333333333333332
Savinjska,2015-08,5.333333333333333,16.6,6.4
Zasavska,2015-08,5.75,15.142857142857142,10.8
Goriška,2015-08,,19.0,16.0
Gorenjska,2015-08,,21.0,
Obalno-kraška,2015-08,,22.0,13.0
Koroška,2015-08,6.0,20.0,
Podravska,2015-09,,15.0,29.0
Zasavska,2015-09,5.0,13.571428571428571,11.2
Posavska,2015-09,3.0,20.0,
Savinjska,2015-09,3.3333333333333335,15.6,8.8
Osrednjeslovenska,2015-09,3.3333333333333335,20.75,21.0
Jugovzhodna Slovenija,2015-09,,14.5,4.0
Goriška,2015-09,,16.0,15.0
Koroška,2015-09,2.0,17.0,
Gorenjska,2015-09,,16.0,
Pomurska,2015-09,,13.0,9.0
Obalno-kraška,2015-09,,16.0,11.0
Gorenjska,2015-10,,23.0,
Obalno-kraška,2015-10,,13.0,13.0
Pomurska,2015-10,,26.0,11.0
Koroška,2015-10,3.0,21.0,
Savinjska,2015-10,4.0,22.6,11.4
Jugovzhodna Slovenija,2015-10,,17.5,8.0
Osrednjeslovenska,2015-10,3.6666666666666665,24.25,25.666666666666668
Goriška,2015-10,,14.0,23.0
Posavska,2015-10,5.0,29.0,
Podravska,2015-10,,23.0,29.0
Zasavska,2015-10,6.25,19.428571428571427,13.4
Koroška,2015-11,3.0,26.0,
Goriška,2015-11,,33.0,32.0
Zasavska,2015-11,5.125,26.428571428571427,19.0
Gorenjska,2015-11,,35.0,
Pomurska,2015-11,,48.0,18.0
Jugovzhodna Slovenija,2015-11,,25.5,7.0
Podravska,2015-11,,29.5,29.0
Osrednjeslovenska,2015-11,4.333333333333333,34.25,31.0
Savinjska,2015-11,4.111111111111111,30.2,17.2
Posavska,2015-11,6.0,28.0,
Obalno-kraška,2015-11,,36.0,23.0
Pomurska,2015-12,,48.0,20.0
Gorenjska,2015-12,,46.0,
Zasavska,2015-12,3.25,26.142857142857142,20.2
Posavska,2015-12,9.0,19.0,
Koroška,2015-12,3.0,39.0,
Obalno-kraška,2015-12,,50.0,33.0
Osrednjeslovenska,2015-12,4.666666666666667,37.0,31.0
Jugovzhodna Slovenija,2015-12,,28.0,20.0
Goriška,2015-12,,46.0,36.0
Savinjska,2015-12,4.5,32.2,23.2
Podravska,2015-12,,30.0,24.0
Obalno-kraška,2016-01,,40.0,31.0
Posavska,2016-01,9.0,31.0,
Gorenjska,2016-01,,51.0,
Podravska,2016-01,,49.666666666666664,29.0
Osrednjeslovenska,2016-01,3.6666666666666665,51.0,35.0
Pomurska,2016-01,,59.0,20.0
Jugovzhodna Slovenija,2016-01,0.5,36.0,3.0
Goriška,2016-01,,37.0,34.0
Savinjska,2016-01,4.333333333333333,43.6,23.0
Zasavska,2016-01,6.428571428571429,49.25,22.0
Koroška,2016-01,4.0,39.0,
Obalno-kraška,2016-02,,21.0,23.0
Goriška,2016-02,,18.666666666666668,25.0
Jugovzhodna Slovenija,2016-02,0.1,16.0,2.0
Posavska,2016-02,9.0,18.0,
Osrednjeslovenska,2016-02,3.6666666666666665,20.5,25.0
Gorenjska,2016-02,,24.0,
Koroška,2016-02,2.0,21.0,
Savinjska,2016-02,3.0,20.2,12.8
Zasavska,2016-02,5.714285714285714,21.5,14.6
Podravska,2016-02,,19.333333333333332,35.0
Pomurska,2016-02,,26.0,14.0
Koroška,2016-03,2.0,21.0,
Goriška,2016-03,,19.666666666666668,20.0
Jugovzhodna Slovenija,2016-03,0.4,18.5,3.0
Zasavska,2016-03,6.0,23.0,13.8
Savinjska,2016-03,3.111111111111111,21.4,12.2
Gorenjska,2016-03,,23.0,
Podravska,2016-03,,21.666666666666668,29.0
Osrednjeslovenska,2016-03,3.3333333333333335,23.5,24.0
Obalno-kraška,2016-03,,18.0,16.0
Pomurska,2016-03,,23.0,7.0
Posavska,2016-03,10.0,22.0,
Goriška,2016-04,,15.333333333333334,16.0
Podravska,2016-04,,19.333333333333332,21.0
Gorenjska,2016-04,,19.0,
Osrednjeslovenska,2016-04,3.0,23.25,19.666666666666668
Posavska,2016-04,5.0,21.0,
Obalno-kraška,2016-04,,18.0,13.0
Pomurska,2016-04,,18.0,9.0
Zasavska,2016-04,4.857142857142857,18.25,10.2
Jugovzhodna Slovenija,2016-04,0.4,14.5,1.0
Koroška,2016-04,3.0,24.0,
Savinjska,2016-04,3.6666666666666665,18.8,9.2
Posavska,2016-05,4.0,22.0,
Osrednjeslovenska,2016-05,3.6666666666666665,17.25,20.333333333333332
Savinjska,2016-05,2.7777777777777777,14.2,7.8
Obalno-kraška,2016-05,,13.0,10.0
Gorenjska,2016-05,,13.0,
Koroška,2016-05,2.0,18.0,
Podravska,2016-05,,16.0,20.0
Zasavska,2016-05,6.714285714285714,15.5,9.6
Goriška,2016-05,,10.333333333333334,13.0
Jugovzhodna Slovenija,2016-05,0.3,12.0,1.0
Pomurska,2016-05,,14.0,8.0
Zasavska,2016-06,6.285714285714286,14.25,8.25
Podravska,2016-06,,17.333333333333332,
Savinjska,2016-06,2.7777777777777777,14.2,6.0
Obalno-kraška,2016-06,,15.0,11.0
Osrednjeslovenska,2016-06,3.0,18.0,16.666666666666668
Goriška,2016-06,,13.333333333333334,12.0
Pomurska,2016-06,,14.0,8.0
Gorenjska,2016-06,,14.0,
Jugovzhodna Slovenija,2016-06,0.2,12.5,1.0
Koroška,2016-06,4.0,18.0,
Posavska,2016-06,4.0,24.0,
Pomurska,2016-07,,14.0,6.0
Goriška,2016-07,,14.0,19.0
Savinjska,2016-07,3.5555555555555554,14.2,6.2
Osrednjeslovenska,2016-07,2.6666666666666665,19.75,16.0
Zasavska,2016-07,7.142857142857143,15.5,7.25
Podravska,2016-07,,17.333333333333332,19.0
Jugovzhodna Slovenija,2016-07,0.3,14.0,1.0
Obalno-kraška,2016-07,,16.0,12.0
Koroška,2016-07,5.0,15.0,
Gorenjska,2016-07,,14.0,
Posavska,2016-07,5.0,14.0,
Osrednjeslovenska,2016-08,3.3333333333333335,17.75,14.666666666666666
Goriška,2016-08,,11.0,17.0
Jugovzhodna Slovenija,2016-08,0.2,13.0,1.0
Koroška,2016-08,3.0,15.0,
Obalno-kraška,2016-08,,14.0,9.0
Savinjska,2016-08,3.6666666666666665,14.0,5.6
Podravska,2016-08,,14.666666666666666,20.0
Zasavska,2016-08,4.714285714285714,14.0,7.25
Pomurska,2016-08,,13.0,11.0
Gorenjska,2016-08,,13.0,
Posavska,2016-08,6.0,12.0,
Posavska,2016-09,3.0,18.0,
Koroška,2016-09,4.0,19.0,
Gorenjska,2016-09,,19.0,
Pomurska,2016-09,,20.0,14.0
Savinjska,2016-09,4.111111111111111,20.2,7.4
Osrednjeslovenska,2016-09,2.6666666666666665,24.0,21.0
Zasavska,2016-09,6.571428571428571,19.0,10.25
Podravska,2016-09,,19.0,17.0
Obalno-kraška,2016-09,,17.0,7.0
Jugovzhodna Slovenija,2016-09,0.4,16.5,1.0
Goriška,2016-09,,15.666666666666666,23.0
Pomurska,2016-10,,21.0,15.0
Koroška,2016-10,4.0,15.0,
Zasavska,2016-10,5.571428571428571,19.25,12.25
Savinjska,2016-10,4.333333333333333,17.8,9.6
Podravska,2016-10,,20.333333333333332,18.0
Osrednjeslovenska,2016-10,3.0,21.0,20.666666666666668
Jugovzhodna Slovenija,2016-10,0.1,15.0,2.0
Obalno-kraška,2016-10,,13.0,12.0
Goriška,2016-10,,11.333333333333334,26.0
Posavska,2016-10,5.0,26.0,
Gorenjska,2016-10,,20.0,
Podravska,2016-11,,27.666666666666668,32.0
Obalno-kraška,2016-11,,19.0,15.0
Goriška,2016-11,,20.666666666666668,35.0
Koroška,2016-11,5.0,23.0,
Pomurska,2016-11,,34.0,13.0
Zasavska,2016-11,5.714285714285714,25.25,15.25
Savinjska,2016-11,4.0,24.4,13.6
Osrednjeslovenska,2016-11,4.333333333333333,25.0,25.333333333333332
Jugovzhodna Slovenija,2016-11,0.2,20.5,2.0
Posavska,2016-11,7.0,27.0,
Gorenjska,2016-11,,26.0,
Gorenjska,2016-12,,61.0,
Goriška,2016-12,,29.333333333333332,55.0
Osrednjeslovenska,2016-12,4.666666666666667,57.25,42.666666666666664
Obalno-kraška,2016-12,,28.0,21.0
Zasavska,2016-12,6.714285714285714,53.5,18.5
Savinjska,2016-12,3.888888888888889,47.8,25.0
Podravska,2016-12,,55.0,48.0
Koroška,2016-12,4.0,45.0,
Pomurska,2016-12,,54.0,20.0
Posavska,2016-12,5.0,35.0,
Jugovzhodna Slovenija,2016-12,0.3,35.5,3.0
Osrednjeslovenska,2017-01,6.0,54.0,42.0
