Postaja,Leto,Mesec,NOX
vnajnarje,2000,Jul,3.0
ljubljana f.,2000,Avg,16.0
maribor,2000,Avg,43.0
celje,2000,Avg,28.0
trbovlje,2000,Avg,42.0
zavodnje,2000,Avg,6.0
skale,2000,Avg,6.0
kovk,2000,Avg,5.0
vnajnarje,2000,Avg,3.0
ljubljana f.,2000,Sep,58.0
maribor,2000,Sep,66.0
celje,2000,Sep,33.0
trbovlje,2000,Sep,49.0
zavodnje,2000,Sep,9.0
skale,2000,Sep,6.0
kovk,2000,Sep,8.0
vnajnarje,2000,Sep,3.0
ljubljana f.,2000,Okt,66.0
maribor,2000,Okt,76.0
celje,2000,Okt,33.0
trbovlje,2000,Okt,49.0
zavodnje,2000,Okt,5.0
skale,2000,Okt,7.0
kovk,2000,Okt,5.0
vnajnarje,2000,Okt,4.0
ljubljana f.,2000,Nov,125.0
maribor,2000,Nov,86.0
celje,2000,Nov,68.0
trbovlje,2000,Nov,60.0
zavodnje,2000,Nov,6.0
skale,2000,Nov,9.0
kovk,2000,Nov,9.0
vnajnarje,2000,Nov,6.0
ljubljana f.,2000,Dec,86.0
maribor,2000,Dec,80.0
celje,2000,Dec,60.0
trbovlje,2000,Dec,53.0
zavodnje,2000,Dec,10.0
skale,2000,Dec,11.0
kovk,2000,Dec,14.0
vnajnarje,2000,Dec,11.0
ljubljana f.,2001,Jan,75.0
maribor,2001,Jan,54.0
celje,2001,Jan,45.0
trbovlje,2001,Jan,
zavodnje,2001,Jan,6.0
skale,2001,Jan,8.0
kovk,2001,Jan,8.0
vnajnarje,2001,Jan,8.0
ljubljana f.,2001,Feb,70.0
maribor,2001,Feb,54.0
celje,2001,Feb,42.0
trbovlje,2001,Feb,
zavodnje,2001,Feb,6.0
skale,2001,Feb,8.0
kovk,2001,Feb,7.0
vnajnarje,2001,Feb,8.0
ljubljana f.,2001,Mar,62.0
maribor,2001,Mar,53.0
celje,2001,Mar,27.0
trbovlje,2001,Mar,
zavodnje,2001,Mar,4.0
skale,2001,Mar,6.0
kovk,2001,Mar,9.0
vnajnarje,2001,Mar,5.0
ljubljana f.,2001,Apr,
maribor,2001,Apr,67.0
celje,2001,Apr,24.0
trbovlje,2001,Apr,
zavodnje,2001,Apr,4.0
skale,2001,Apr,7.0
kovk,2001,Apr,7.0
vnajnarje,2001,Apr,4.0
ljubljana f.,2001,Maj,
maribor,2001,Maj,
celje,2001,Maj,19.0
trbovlje,2001,Maj,
zavodnje,2001,Maj,8.0
skale,2001,Maj,6.0
kovk,2001,Maj,5.0
vnajnarje,2001,Maj,3.0
ljubljana f.,2001,Jun,34.0
maribor,2001,Jun,
celje,2001,Jun,24.0
trbovlje,2001,Jun,
zavodnje,2001,Jun,6.0
skale,2001,Jun,4.0
kovk,2001,Jun,6.0
vnajnarje,2001,Jun,3.0
ljubljana f.,2001,Jul,32.0
maribor,2001,Jul,
celje,2001,Jul,22.0
trbovlje,2001,Jul,
zavodnje,2001,Jul,3.0
skale,2001,Jul,7.0
kovk,2001,Jul,6.0
vnajnarje,2001,Jul,3.0
ljubljana f.,2001,Avg,
maribor,2001,Avg,52.0
celje,2001,Avg,24.0
trbovlje,2001,Avg,
zavodnje,2001,Avg,9.0
skale,2001,Avg,8.0
kovk,2001,Avg,3.0
vnajnarje,2001,Avg,2.0
ljubljana f.,2001,Sep,
maribor,2001,Sep,78.0
celje,2001,Sep,35.0
trbovlje,2001,Sep,
zavodnje,2001,Sep,7.0
skale,2001,Sep,6.0
kovk,2001,Sep,4.0
vnajnarje,2001,Sep,4.0
ljubljana f.,2001,Okt,115.0
maribor,2001,Okt,85.0
celje,2001,Okt,43.0
trbovlje,2001,Okt,
zavodnje,2001,Okt,16.0
skale,2001,Okt,11.0
kovk,2001,Okt,6.0
vnajnarje,2001,Okt,5.0
ljubljana f.,2001,Nov,123.0
maribor,2001,Nov,102.0
celje,2001,Nov,92.0
trbovlje,2001,Nov,
zavodnje,2001,Nov,15.0
skale,2001,Nov,1.0
kovk,2001,Nov,11.0
vnajnarje,2001,Nov,8.0
ljubljana f.,2001,Dec,
maribor,2001,Dec,99.0
celje,2001,Dec,107.0
trbovlje,2001,Dec,
zavodnje,2001,Dec,23.0
skale,2001,Dec,18.0
kovk,2001,Dec,13.0
vnajnarje,2001,Dec,8.0
ljubljana b.,2002,Jan,112.0
maribor,2002,Jan,106.0
celje,2002,Jan,72.0
trbovlje,2002,Jan,82.0
nova gorica,2002,Jan,90.0
murska s.-rakican,2002,Jan,39.0
zavodnje,2002,Jan,
skale,2002,Jan,26.0
kovk,2002,Jan,4.0
vnajnarje,2002,Jan,8.0
eis celje,2002,Jan,
ljubljana b.,2002,Feb,73.0
maribor,2002,Feb,84.0
celje,2002,Feb,69.0
trbovlje,2002,Feb,64.0
nova gorica,2002,Feb,71.0
murska s.-rakican,2002,Feb,21.0
zavodnje,2002,Feb,
skale,2002,Feb,18.0
kovk,2002,Feb,9.0
vnajnarje,2002,Feb,8.0
eis celje,2002,Feb,
ljubljana b.,2002,Mar,47.0
maribor,2002,Mar,59.0
celje,2002,Mar,48.0
trbovlje,2002,Mar,52.0
nova gorica,2002,Mar,50.0
murska s.-rakican,2002,Mar,18.0
zavodnje,2002,Mar,
skale,2002,Mar,15.0
kovk,2002,Mar,7.0
vnajnarje,2002,Mar,5.0
eis celje,2002,Mar,
ljubljana b.,2002,Apr,37.0
maribor,2002,Apr,63.0
celje,2002,Apr,32.0
trbovlje,2002,Apr,56.0
nova gorica,2002,Apr,38.0
murska s.-rakican,2002,Apr,15.0
zavodnje,2002,Apr,
skale,2002,Apr,7.0
kovk,2002,Apr,6.0
vnajnarje,2002,Apr,4.0
eis celje,2002,Apr,
ljubljana b.,2002,Maj,29.0
maribor,2002,Maj,45.0
celje,2002,Maj,20.0
trbovlje,2002,Maj,32.0
nova gorica,2002,Maj,31.0
murska s.-rakican,2002,Maj,14.0
zavodnje,2002,Maj,
skale,2002,Maj,12.0
kovk,2002,Maj,3.0
vnajnarje,2002,Maj,4.0
eis celje,2002,Maj,
ljubljana b.,2002,Jun,25.0
maribor,2002,Jun,46.0
celje,2002,Jun,19.0
trbovlje,2002,Jun,33.0
nova gorica,2002,Jun,32.0
murska s.-rakican,2002,Jun,15.0
zavodnje,2002,Jun,
skale,2002,Jun,6.0
kovk,2002,Jun,4.0
vnajnarje,2002,Jun,3.0
eis celje,2002,Jun,
ljubljana b.,2002,Jul,22.0
maribor,2002,Jul,41.0
celje,2002,Jul,18.0
