Postaja,Leto,Mesec,NO2
celje,1999,Sep,24.0
trbovlje,1999,Sep,21.0
zavodnje,1999,Sep,2.0
skale,1999,Sep,5.0
kovk,1999,Sep,8.0
vnajnarje,1999,Sep,4.0
eis celje,1999,Sep,36.0
ljubljana f.,1999,Okt,49.0
maribor,1999,Okt,32.0
celje,1999,Okt,27.0
trbovlje,1999,Okt,22.0
zavodnje,1999,Okt,5.0
skale,1999,Okt,6.0
kovk,1999,Okt,6.0
vnajnarje,1999,Okt,3.0
eis celje,1999,Okt,
ljubljana f.,1999,Nov,54.0
maribor,1999,Nov,36.0
celje,1999,Nov,50.0
trbovlje,1999,Nov,28.0
zavodnje,1999,Nov,9.0
skale,1999,Nov,11.0
kovk,1999,Nov,10.0
vnajnarje,1999,Nov,7.0
eis celje,1999,Nov,
ljubljana f.,1999,Dec,50.0
maribor,1999,Dec,50.0
celje,1999,Dec,46.0
trbovlje,1999,Dec,34.0
zavodnje,1999,Dec,11.0
skale,1999,Dec,14.0
kovk,1999,Dec,12.0
vnajnarje,1999,Dec,8.0
eis celje,1999,Dec,
ljubljana f.,2000,Jan,105.0
maribor,2000,Jan,99.0
celje,2000,Jan,110.0
trbovlje,2000,Jan,64.0
zavodnje,2000,Jan,45.0
skale,2000,Jan,35.0
kovk,2000,Jan,26.0
vnajnarje,2000,Jan,18.0
eis celje,2000,Jan,134.0
ljubljana f.,2000,Feb,67.0
maribor,2000,Feb,75.0
celje,2000,Feb,63.0
trbovlje,2000,Feb,100.0
zavodnje,2000,Feb,22.0
skale,2000,Feb,24.0
kovk,2000,Feb,22.0
vnajnarje,2000,Feb,13.0
eis celje,2000,Feb,105.0
ljubljana f.,2000,Mar,45.0
maribor,2000,Mar,83.0
celje,2000,Mar,41.0
trbovlje,2000,Mar,45.0
zavodnje,2000,Mar,32.0
skale,2000,Mar,26.0
kovk,2000,Mar,24.0
vnajnarje,2000,Mar,9.0
eis celje,2000,Mar,93.0
ljubljana f.,2000,Apr,84.0
maribor,2000,Apr,52.0
celje,2000,Apr,35.0
trbovlje,2000,Apr,39.0
zavodnje,2000,Apr,9.0
skale,2000,Apr,15.0
kovk,2000,Apr,14.0
vnajnarje,2000,Apr,6.0
eis celje,2000,Apr,57.0
ljubljana f.,2000,Maj,
maribor,2000,Maj,100.0
celje,2000,Maj,32.0
trbovlje,2000,Maj,33.0
zavodnje,2000,Maj,15.0
skale,2000,Maj,16.0
kovk,2000,Maj,12.0
vnajnarje,2000,Maj,4.0
eis celje,2000,Maj,61.0
ljubljana f.,2000,Jun,45.0
maribor,2000,Jun,57.0
celje,2000,Jun,41.0
trbovlje,2000,Jun,32.0
zavodnje,2000,Jun,20.0
skale,2000,Jun,22.0
kovk,2000,Jun,15.0
vnajnarje,2000,Jun,7.0
eis celje,2000,Jun,47.0
ljubljana f.,2000,Jul,38.0
maribor,2000,Jul,45.0
celje,2000,Jul,36.0
trbovlje,2000,Jul,33.0
zavodnje,2000,Jul,8.0
skale,2000,Jul,13.0
kovk,2000,Jul,11.0
vnajnarje,2000,Jul,7.0
eis celje,2000,Jul,56.0
ljubljana f.,2000,Avg,33.0
maribor,2000,Avg,58.0
celje,2000,Avg,25.0
trbovlje,2000,Avg,40.0
zavodnje,2000,Avg,14.0
skale,2000,Avg,23.0
kovk,2000,Avg,9.0
vnajnarje,2000,Avg,7.0
eis celje,2000,Avg,46.0
ljubljana f.,2000,Sep,49.0
maribor,2000,Sep,60.0
celje,2000,Sep,36.0
trbovlje,2000,Sep,39.0
zavodnje,2000,Sep,25.0
skale,2000,Sep,12.0
kovk,2000,Sep,13.0
vnajnarje,2000,Sep,8.0
eis celje,2000,Sep,61.0
ljubljana f.,2000,Okt,43.0
maribor,2000,Okt,68.0
celje,2000,Okt,34.0
trbovlje,2000,Okt,32.0
zavodnje,2000,Okt,10.0
skale,2000,Okt,14.0
kovk,2000,Okt,11.0
vnajnarje,2000,Okt,11.0
eis celje,2000,Okt,75.0
ljubljana f.,2000,Nov,61.0
maribor,2000,Nov,64.0
celje,2000,Nov,46.0
trbovlje,2000,Nov,41.0
zavodnje,2000,Nov,26.0
skale,2000,Nov,15.0
kovk,2000,Nov,20.0
vnajnarje,2000,Nov,20.0
eis celje,2000,Nov,
ljubljana f.,2000,Dec,53.0
maribor,2000,Dec,57.0
celje,2000,Dec,51.0
trbovlje,2000,Dec,34.0
zavodnje,2000,Dec,31.0
skale,2000,Dec,21.0
kovk,2000,Dec,20.0
vnajnarje,2000,Dec,22.0
eis celje,2000,Dec,
ljubljana f.,2001,Jan,36.0
maribor,2001,Jan,28.0
celje,2001,Jan,26.0
trbovlje,2001,Jan,
zavodnje,2001,Jan,5.0
skale,2001,Jan,6.0
kovk,2001,Jan,7.0
vnajnarje,2001,Jan,7.0
eis celje,2001,Jan,50.0
ljubljana f.,2001,Feb,40.0
maribor,2001,Feb,30.0
celje,2001,Feb,25.0
trbovlje,2001,Feb,
zavodnje,2001,Feb,5.0
skale,2001,Feb,6.0
kovk,2001,Feb,6.0
vnajnarje,2001,Feb,7.0
eis celje,2001,Feb,
ljubljana f.,2001,Mar,38.0
maribor,2001,Mar,31.0
celje,2001,Mar,20.0
trbovlje,2001,Mar,
zavodnje,2001,Mar,4.0
skale,2001,Mar,5.0
kovk,2001,Mar,8.0
vnajnarje,2001,Mar,5.0
eis celje,2001,Mar,36.0
ljubljana f.,2001,Apr,
maribor,2001,Apr,48.0
celje,2001,Apr,19.0
trbovlje,2001,Apr,
zavodnje,2001,Apr,3.0
skale,2001,Apr,5.0
kovk,2001,Apr,6.0
vnajnarje,2001,Apr,4.0
eis celje,2001,Apr,32.0
ljubljana f.,2001,Maj,28.0
maribor,2001,Maj,
celje,2001,Maj,15.0
trbovlje,2001,Maj,
zavodnje,2001,Maj,7.0
skale,2001,Maj,5.0
kovk,2001,Maj,5.0
vnajnarje,2001,Maj,4.0
eis celje,2001,Maj,35.0
ljubljana f.,2001,Jun,21.0
maribor,2001,Jun,
celje,2001,Jun,17.0
trbovlje,2001,Jun,
zavodnje,2001,Jun,5.0
skale,2001,Jun,3.0
kovk,2001,Jun,5.0
vnajnarje,2001,Jun,3.0
eis celje,2001,Jun,35.0
ljubljana f.,2001,Jul,28.0
maribor,2001,Jul,
celje,2001,Jul,19.0
trbovlje,2001,Jul,
zavodnje,2001,Jul,2.0
skale,2001,Jul,6.0
kovk,2001,Jul,5.0
vnajnarje,2001,Jul,3.0
eis celje,2001,Jul,31.0
ljubljana f.,2001,Avg,25.0
maribor,2001,Avg,37.0
celje,2001,Avg,20.0
trbovlje,2001,Avg,
zavodnje,2001,Avg,7.0
skale,2001,Avg,7.0
kovk,2001,Avg,3.0
vnajnarje,2001,Avg,2.0
eis celje,2001,Avg,31.0
ljubljana f.,2001,Sep,
maribor,2001,Sep,42.0
celje,2001,Sep,23.0
trbovlje,2001,Sep,
zavodnje,2001,Sep,5.0
skale,2001,Sep,4.0
kovk,2001,Sep,2.0
vnajnarje,2001,Sep,5.0
eis celje,2001,Sep,
ljubljana f.,2001,Okt,
maribor,2001,Okt,47.0
celje,2001,Okt,25.0
trbovlje,2001,Okt,
zavodnje,2001,Okt,11.0
skale,2001,Okt,7.0
kovk,2001,Okt,5.0
vnajnarje,2001,Okt,5.0
eis celje,2001,Okt,
ljubljana f.,2001,Nov,56.0
maribor,2001,Nov,43.0
celje,2001,Nov,40.0
trbovlje,2001,Nov,
zavodnje,2001,Nov,8.0
skale,2001,Nov,3.0
kovk,2001,Nov,9.0
vnajnarje,2001,Nov,7.0
eis celje,2001,Nov,39.0
ljubljana f.,2001,Dec,58.0
maribor,2001,Dec,47.0
celje,2001,Dec,53.0
trbovlje,2001,Dec,
zavodnje,2001,Dec,13.0
skale,2001,Dec,16.0
kovk,2001,Dec,11.0
vnajnarje,2001,Dec,8.0
eis celje,2001,Dec,52.0
ljubljana b.,2002,Jan,30.0
maribor,2002,Jan,51.0
celje,2002,Jan,42.0
trbovlje,2002,Jan,39.0
nova gorica,2002,Jan,48.0
murska s.-rakican,2002,Jan,27.0
skale,2002,Jan,20.0
kovk,2002,Jan,4.0
vnajnarje,2002,Jan,8.0
ljubljana b.,2002,Feb,42.0
maribor,2002,Feb,40.0
celje,2002,Feb,36.0
trbovlje,2002,Feb,34.0
nova gorica,2002,Feb,39.0
murska s.-rakican,2002,Feb,15.0
skale,2002,Feb,15.0
kovk,2002,Feb,8.0
vnajnarje,2002,Feb,7.0
ljubljana b.,2002,Mar,36.0
maribor,2002,Mar,42.0
celje,2002,Mar,33.0
trbovlje,2002,Mar,31.0
nova gorica,2002,Mar,36.0
murska s.-rakican,2002,Mar,13.0
skale,2002,Mar,12.0
kovk,2002,Mar,7.0
vnajnarje,2002,Mar,5.0
ljubljana b.,2002,Apr,30.0
maribor,2002,Apr,50.0
celje,2002,Apr,25.0
trbovlje,2002,Apr,32.0
nova gorica,2002,Apr,29.0
murska s.-rakican,2002,Apr,11.0
skale,2002,Apr,7.0
kovk,2002,Apr,5.0
vnajnarje,2002,Apr,5.0
ljubljana b.,2002,Maj,24.0
maribor,2002,Maj,31.0
celje,2002,Maj,17.0
trbovlje,2002,Maj,20.0
nova gorica,2002,Maj,24.0
murska s.-rakican,2002,Maj,10.0
skale,2002,Maj,10.0
kovk,2002,Maj,3.0
vnajnarje,2002,Maj,4.0
ljubljana b.,2002,Jun,21.0
maribor,2002,Jun,32.0
celje,2002,Jun,17.0
trbovlje,2002,Jun,22.0
nova gorica,2002,Jun,25.0
murska s.-rakican,2002,Jun,11.0
skale,2002,Jun,6.0
kovk,2002,Jun,4.0
vnajnarje,2002,Jun,3.0
ljubljana b.,2002,Jul,19.0
maribor,2002,Jul,30.0
celje,2002,Jul,15.0
trbovlje,2002,Jul,24.0
nova gorica,2002,Jul,23.0
murska s.-rakican,2002,Jul,11.0
skale,2002,Jul,26.0
kovk,2002,Jul,4.0
vnajnarje,2002,Jul,5.0
ljubljana b.,2002,Avg,19.0
maribor,2002,Avg,30.0
celje,2002,Avg,16.0
trbovlje,2002,Avg,23.0
nova gorica,2002,Avg,13.0
murska s.-rakican,2002,Avg,11.0
skale,2002,Avg,21.0
kovk,2002,Avg,4.0
vnajnarje,2002,Avg,5.0
ljubljana b.,2002,Sep,24.0
maribor,2002,Sep,33.0
celje,2002,Sep,22.0
trbovlje,2002,Sep,28.0
nova gorica,2002,Sep,17.0
murska s.-rakican,2002,Sep,11.0
skale,2002,Sep,22.0
kovk,2002,Sep,5.0
vnajnarje,2002,Sep,4.0
ljubljana b.,2002,Okt,33.0
maribor,2002,Okt,36.0
celje,2002,Okt,20.0
trbovlje,2002,Okt,28.0
nova gorica,2002,Okt,22.0
murska s.-rakican,2002,Okt,13.0
skale,2002,Okt,22.0
kovk,2002,Okt,7.0
vnajnarje,2002,Okt,6.0
ljubljana b.,2002,Nov,36.0
maribor,2002,Nov,36.0
celje,2002,Nov,26.0
trbovlje,2002,Nov,31.0
nova gorica,2002,Nov,25.0
murska s.-rakican,2002,Nov,15.0
skale,2002,Nov,13.0
kovk,2002,Nov,9.0
vnajnarje,2002,Nov,7.0
ljubljana b.,2002,Dec,30.0
