Postaja,Regija,Leto,PM10 - Dnevnih presežkov
hrastnik,Zasavska,2013,15.0
koper,Obalno-kraška,2013,10.0
zerjav,Koroška,2013,37.0
lj biotehnicna fakulteta,Osrednjeslovenska,2013,24.0
kranj,Gorenjska,2013,28.0
novo mesto,Jugovzhodna Slovenija,2013,49.0
velenje,Savinjska,2013,8.0
pesje,Posavska,2013,6.0
prapretno,Zasavska,2013,3.0
kovk,Zasavska,2013,1.0
dobovec,Zasavska,2013,1.0
ljubljana center,Osrednjeslovenska,2013,74.0
vnajnarje,Osrednjeslovenska,2013,3.0
amp gaji,Savinjska,2013,35.0
mb vrbanski pl.,Podravska,2013,7.0
eis anhovo (morsko),Goriška,2013,3.0
eis anhovo (gor.polje),Goriška,2013,5.0
ljubljana bezigrad,Osrednjeslovenska,2014,19.0
maribor,Podravska,2014,25.0
celje,Savinjska,2014,41.0
ms rakican,Pomurska,2014,33.0
nova gorica,Goriška,2014,19.0
trbovlje,Zasavska,2014,33.0
zagorje,Zasavska,2014,38.0
hrastnik,Zasavska,2014,10.0
koper,Obalno-kraška,2014,16.0
zerjav,Koroška,2014,3.0
lj biotehniska fakulteta,Osrednjeslovenska,2014,12.0
kranj,Gorenjska,2014,12.0
novo mesto,Jugovzhodna Slovenija,2014,22.0
velenje,Savinjska,2014,15.0
pesje,Posavska,2014,12.0
skale,Savinjska,2014,5.0
prapretno,Zasavska,2014,2.0
ljubljana center,Osrednjeslovenska,2014,55.0
amp gaji,Savinjska,2014,41.0
mb vrbanski plato,Podravska,2014,10.0
eis anhovo (morsko),Goriška,2014,8.0
eis anhovo (gor.polje),Goriška,2014,11.0
lj bezigrad,Osrednjeslovenska,2015,43.0
maribor,Podravska,2015,34.0
celje,Savinjska,2015,70.0
ms rakican,Pomurska,2015,47.0
nova gorica,Goriška,2015,24.0
trbovlje,Zasavska,2015,50.0
zagorje,Zasavska,2015,70.0
hrastnik,Zasavska,2015,22.0
koper,Obalno-kraška,2015,28.0
lj biotehniska,Osrednjeslovenska,2015,35.0
kranj,Gorenjska,2015,17.0
novo mesto,Jugovzhodna Slovenija,2015,40.0
velenje,Savinjska,2015,9.0
