Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
veliki vrh,Savinjska,1997,Jul,,37.0,,
vnajnarje,Osrednjeslovenska,1997,Jul,,21.0,4.0,3.0
zagorje,Zasavska,1997,Jul,,9.0,,
zavodnje,Savinjska,1997,Jul,,21.0,4.0,4.0
celje,Savinjska,1997,Avg,,10.0,,
dobovec,Zasavska,1997,Avg,,63.0,,
eis celje,Savinjska,1997,Avg,,16.0,38.0,
eis krsko,Posavska,1997,Avg,,14.0,,
graska gora,Koroška,1997,Avg,,15.0,,
hrastnik,Zasavska,1997,Avg,,10.0,,
kovk,Zasavska,1997,Avg,,75.0,4.0,4.0
kum,Zasavska,1997,Avg,,29.0,,
ljubljana b.,Osrednjeslovenska,1997,Avg,,24.0,,
ljubljana f.,Osrednjeslovenska,1997,Avg,,6.0,,
maribor,Podravska,1997,Avg,,12.0,31.0,39.0
ravenska vas,Zasavska,1997,Avg,,92.0,,
razbor,Posavska,1997,Avg,,,,
skale,Savinjska,1997,Avg,,7.0,4.0,5.0
sostanj,Savinjska,1997,Avg,,19.0,,
topolsica,Savinjska,1997,Avg,,13.0,,
trbovlje,Zasavska,1997,Avg,,21.0,27.0,46.0
velenje,Savinjska,1997,Avg,,3.0,,
veliki vrh,Savinjska,1997,Avg,,46.0,,
vnajnarje,Osrednjeslovenska,1997,Avg,,10.0,3.0,3.0
zagorje,Zasavska,1997,Avg,,26.0,,
zavodnje,Savinjska,1997,Avg,,24.0,4.0,5.0
celje,Savinjska,1997,Sep,,13.0,,
dobovec,Zasavska,1997,Sep,,30.0,,
eis celje,Savinjska,1997,Sep,,15.0,42.0,
eis krsko,Posavska,1997,Sep,,67.0,,
graska gora,Koroška,1997,Sep,,25.0,,
hrastnik,Zasavska,1997,Sep,,17.0,,
kovk,Zasavska,1997,Sep,,40.0,3.0,3.0
kum,Zasavska,1997,Sep,,10.0,,
ljubljana b.,Osrednjeslovenska,1997,Sep,,15.0,,
ljubljana f.,Osrednjeslovenska,1997,Sep,,8.0,,
maribor,Podravska,1997,Sep,,14.0,35.0,49.0
ravenska vas,Zasavska,1997,Sep,,108.0,,
razbor,Posavska,1997,Sep,,,,
skale,Savinjska,1997,Sep,,13.0,6.0,7.0
sostanj,Savinjska,1997,Sep,,29.0,,
topolsica,Savinjska,1997,Sep,,21.0,,
trbovlje,Zasavska,1997,Sep,,24.0,32.0,56.0
velenje,Savinjska,1997,Sep,,5.0,,
veliki vrh,Savinjska,1997,Sep,,46.0,,
vnajnarje,Osrednjeslovenska,1997,Sep,,10.0,2.0,2.0
zagorje,Zasavska,1997,Sep,,33.0,,
zavodnje,Savinjska,1997,Sep,,41.0,6.0,7.0
celje,Savinjska,1997,Okt,,27.0,,
dobovec,Zasavska,1997,Okt,,52.0,,
eis celje,Savinjska,1997,Okt,,27.0,45.0,
eis krsko,Posavska,1997,Okt,,28.0,,
graska gora,Koroška,1997,Okt,,44.0,,
hrastnik,Zasavska,1997,Okt,,18.0,,
kovk,Zasavska,1997,Okt,,92.0,6.0,7.0
kum,Zasavska,1997,Okt,,18.0,,
ljubljana b.,Osrednjeslovenska,1997,Okt,,25.0,,
ljubljana f.,Osrednjeslovenska,1997,Okt,,19.0,,
maribor,Podravska,1997,Okt,,22.0,42.0,77.0
ravenska vas,Zasavska,1997,Okt,,74.0,,
razbor,Posavska,1997,Okt,,,,
skale,Savinjska,1997,Okt,,19.0,8.0,9.0
sostanj,Savinjska,1997,Okt,,33.0,,
topolsica,Savinjska,1997,Okt,,17.0,,
trbovlje,Zasavska,1997,Okt,,29.0,28.0,59.0
velenje,Savinjska,1997,Okt,,7.0,,
veliki vrh,Savinjska,1997,Okt,,43.0,,
vnajnarje,Osrednjeslovenska,1997,Okt,,21.0,3.0,3.0
zagorje,Zasavska,1997,Okt,,24.0,,
zavodnje,Savinjska,1997,Okt,,45.0,8.0,10.0
celje,Savinjska,1997,Nov,,33.0,,
dobovec,Zasavska,1997,Nov,,78.0,,
eis celje,Savinjska,1997,Nov,,17.0,,
eis krsko,Posavska,1997,Nov,,42.0,,
graska gora,Koroška,1997,Nov,,28.0,,
hrastnik,Zasavska,1997,Nov,,25.0,,
kovk,Zasavska,1997,Nov,,39.0,11.0,14.0
kum,Zasavska,1997,Nov,,38.0,,
ljubljana b.,Osrednjeslovenska,1997,Nov,,23.0,,
ljubljana f.,Osrednjeslovenska,1997,Nov,,25.0,38.0,84.0
maribor,Podravska,1997,Nov,,24.0,41.0,87.0
ravenska vas,Zasavska,1997,Nov,,86.0,,
razbor,Posavska,1997,Nov,,,,
skale,Savinjska,1997,Nov,,15.0,10.0,12.0
sostanj,Savinjska,1997,Nov,,44.0,,
topolsica,Savinjska,1997,Nov,,20.0,,
trbovlje,Zasavska,1997,Nov,,43.0,34.0,79.0
velenje,Savinjska,1997,Nov,,12.0,,
veliki vrh,Savinjska,1997,Nov,,64.0,,
vnajnarje,Osrednjeslovenska,1997,Nov,,18.0,1.0,3.0
zagorje,Zasavska,1997,Nov,,26.0,,
zavodnje,Savinjska,1997,Nov,,63.0,8.0,10.0
celje,Savinjska,1997,Dec,,37.0,,
dobovec,Zasavska,1997,Dec,,58.0,,
eis celje,Savinjska,1997,Dec,,37.0,,
eis krsko,Posavska,1997,Dec,,32.0,,
graska gora,Koroška,1997,Dec,,23.0,,
hrastnik,Zasavska,1997,Dec,,27.0,,
kovk,Zasavska,1997,Dec,,50.0,11.0,18.0
kum,Zasavska,1997,Dec,,28.0,,
ljubljana b.,Osrednjeslovenska,1997,Dec,,31.0,,
ljubljana f.,Osrednjeslovenska,1997,Dec,,28.0,43.0,100.0
maribor,Podravska,1997,Dec,,27.0,42.0,87.0
ravenska vas,Zasavska,1997,Dec,,83.0,,
razbor,Posavska,1997,Dec,,,,
skale,Savinjska,1997,Dec,,15.0,11.0,14.0
sostanj,Savinjska,1997,Dec,,6.0,,
topolsica,Savinjska,1997,Dec,,6.0,,
trbovlje,Zasavska,1997,Dec,,57.0,32.0,78.0
velenje,Savinjska,1997,Dec,,10.0,,
veliki vrh,Savinjska,1997,Dec,,95.0,,
vnajnarje,Osrednjeslovenska,1997,Dec,,24.0,1.0,4.0
zagorje,Zasavska,1997,Dec,,23.0,,
zavodnje,Savinjska,1997,Dec,,41.0,7.0,9.0
celje,Savinjska,1998,Jan,,37.0,,
dobovec,Zasavska,1998,Jan,,79.0,,
eis celje,Savinjska,1998,Jan,,47.0,,
eis krsko,Posavska,1998,Jan,,72.0,,
graska gora,Koroška,1998,Jan,,41.0,,
hrastnik,Zasavska,1998,Jan,,24.0,,
kovk,Zasavska,1998,Jan,,91.0,9.0,10.0
kum,Zasavska,1998,Jan,,15.0,,
ljubljana b.,Osrednjeslovenska,1998,Jan,,35.0,,
ljubljana f.,Osrednjeslovenska,1998,Jan,,29.0,44.0,90.0
maribor,Podravska,1998,Jan,,26.0,43.0,84.0
ravenska vas,Zasavska,1998,Jan,,68.0,,
skale,Savinjska,1998,Jan,,21.0,10.0,11.0
skale,Savinjska,1998,Jan,,21.0,10.0,130.0
skale,Savinjska,1998,Jan,,21.0,51.0,11.0
skale,Savinjska,1998,Jan,,21.0,51.0,130.0
skale,Savinjska,1998,Jan,,38.0,10.0,11.0
skale,Savinjska,1998,Jan,,38.0,10.0,130.0
skale,Savinjska,1998,Jan,,38.0,51.0,11.0
