Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
lj biotehniska fakulteta,Osrednjeslovenska,2014,Dec,26.0,,,
lj center,Osrednjeslovenska,2014,Dec,45.0,2.0,45.0,130.0
ljubljana bezigrad,Osrednjeslovenska,2014,Dec,,4.0,31.0,105.0
maribor,Podravska,2014,Dec,30.0,,35.0,120.0
mb vrbanski,Podravska,2014,Dec,,,,76.0
ms rakican,Pomurska,2014,Dec,36.0,,,
murska sobota-rakican,Pomurska,2014,Dec,,,16.0,54.0
nova gorica,Goriška,2014,Dec,31.0,,12.0,41.0
novo mesto,Jugovzhodna Slovenija,2014,Dec,13.0,,,
pesje,Posavska,2014,Dec,19.0,8.0,,
prapretno,Zasavska,2014,Dec,17.0,,,
ravenska vas,Zasavska,2014,Dec,,4.0,,
skale,Savinjska,2014,Dec,14.0,4.0,11.0,38.0
sostanj,Savinjska,2014,Dec,17.0,4.0,,
sv. mohor,Savinjska,2014,Dec,,4.0,11.0,48.0
topolsica,Savinjska,2014,Dec,,2.0,,
trbovlje,Zasavska,2014,Dec,34.0,8.0,21.0,66.0
velenje,Savinjska,2014,Dec,18.0,7.0,,
veliki vrh,Savinjska,2014,Dec,,4.0,,
vnajnarje,Osrednjeslovenska,2014,Dec,10.0,5.0,9.0,60.0
vrbanski plato,Podravska,2014,Dec,19.0,,19.0,
zagorje,Zasavska,2014,Dec,39.0,5.0,24.0,65.0
zavodnje,Savinjska,2014,Dec,,3.0,11.0,60.0
zelena trava,Zasavska,2014,Dec,13.0,1.0,14.0,56.0
zerjav,Koroška,2014,Dec,29.0,,,
amp gaji,Savinjska,2015,Jan,36.0,5.0,43.0,162.0
celje,Savinjska,2015,Jan,51.0,6.0,40.0,147.0
dobovec,Zasavska,2015,Jan,7.0,5.0,5.0,16.0
graska gora,Koroška,2015,Jan,,3.0,,
hrastnik,Zasavska,2015,Jan,32.0,3.0,,
iskrba,Jugovzhodna Slovenija,2015,Jan,9.0,,12.0,
koper,Obalno-kraška,2015,Jan,27.0,,25.0,85.0
kovk,Zasavska,2015,Jan,13.0,7.0,12.0,37.0
kranj,Gorenjska,2015,Jan,40.0,,,
kum,Zasavska,2015,Jan,,5.0,,
lj bezigrad,Osrednjeslovenska,2015,Jan,41.0,,41.0,112.0
lj biotehniska,Osrednjeslovenska,2015,Jan,39.0,,,
lj center,Osrednjeslovenska,2015,Jan,54.0,3.0,49.0,121.0
ljubljana bezigrad,Osrednjeslovenska,2015,Jan,,4.0,,
maribor,Podravska,2015,Jan,42.0,,40.0,106.0
mb vrbanski,Podravska,2015,Jan,29.0,,,
ms rakican,Pomurska,2015,Jan,40.0,,20.0,99.0
nova gorica,Goriška,2015,Jan,36.0,,29.0,110.0
novo mesto,Jugovzhodna Slovenija,2015,Jan,50.0,,,
pesje,Posavska,2015,Jan,27.0,9.0,,
prapretno,Zasavska,2015,Jan,22.0,,,
ravenska vas,Zasavska,2015,Jan,,5.0,,
skale,Savinjska,2015,Jan,22.0,5.0,13.0,57.0
sostanj,Savinjska,2015,Jan,17.0,4.0,,
sv. mohor,Savinjska,2015,Jan,,4.0,11.0,59.0
topolsica,Savinjska,2015,Jan,,5.0,,
trbovlje,Zasavska,2015,Jan,42.0,4.0,23.0,82.0
velenje,Savinjska,2015,Jan,24.0,7.0,,
veliki vrh,Savinjska,2015,Jan,,5.0,,
vnajnarje,Osrednjeslovenska,2015,Jan,27.0,9.0,10.0,54.0
zagorje,Zasavska,2015,Jan,46.0,4.0,37.0,98.0
zavodnje,Savinjska,2015,Jan,,3.0,11.0,50.0
zelena trava,Zasavska,2015,Jan,16.0,4.0,10.0,29.0
zerjav,Koroška,2015,Jan,30.0,,,
amp gaji,Savinjska,2015,Feb,45.0,7.0,35.0,114.0
celje,Savinjska,2015,Feb,47.0,8.0,39.0,98.0
dobovec,Zasavska,2015,Feb,8.0,3.0,4.0,16.0
graska gora,Koroška,2015,Feb,,2.0,,
hrastnik,Zasavska,2015,Feb,35.0,2.0,,
iskrba,Jugovzhodna Slovenija,2015,Feb,13.0,,12.0,
koper,Obalno-kraška,2015,Feb,21.0,,18.0,76.0
kovk,Zasavska,2015,Feb,12.0,5.0,13.0,61.0
kranj,Gorenjska,2015,Feb,37.0,,,
kum,Zasavska,2015,Feb,,2.0,,
lj bezigrad,Osrednjeslovenska,2015,Feb,38.0,,43.0,123.0
lj biotehniska,Osrednjeslovenska,2015,Feb,38.0,,,
lj center,Osrednjeslovenska,2015,Feb,51.0,2.0,47.0,119.0
ljubljana bezigrad,Osrednjeslovenska,2015,Feb,,4.0,,
maribor,Podravska,2015,Feb,42.0,,39.0,116.0
mb vrbanski,Podravska,2015,Feb,21.0,,,
ms rakican,Pomurska,2015,Feb,41.0,,18.0,65.0
nova gorica,Goriška,2015,Feb,28.0,,19.0,60.0
novo mesto,Jugovzhodna Slovenija,2015,Feb,48.0,,,
pesje,Posavska,2015,Feb,22.0,8.0,,
prapretno,Zasavska,2015,Feb,20.0,,,
ravenska vas,Zasavska,2015,Feb,,6.0,,
skale,Savinjska,2015,Feb,19.0,4.0,10.0,40.0
sostanj,Savinjska,2015,Feb,13.0,4.0,,
sv. mohor,Savinjska,2015,Feb,,5.0,11.0,32.0
topolsica,Savinjska,2015,Feb,,4.0,,
trbovlje,Zasavska,2015,Feb,46.0,5.0,27.0,75.0
velenje,Savinjska,2015,Feb,29.0,3.0,,
veliki vrh,Savinjska,2015,Feb,,3.0,,
vnajnarje,Osrednjeslovenska,2015,Feb,22.0,3.0,10.0,45.0
zagorje,Zasavska,2015,Feb,49.0,4.0,43.0,111.0
zavodnje,Savinjska,2015,Feb,,3.0,10.0,59.0
zelena trava,Zasavska,2015,Feb,16.0,6.0,14.0,67.0
zerjav,Koroška,2015,Feb,32.0,,,
amp gaji,Savinjska,2015,Mar,43.0,8.0,26.0,92.0
celje,Savinjska,2015,Mar,39.0,4.0,33.0,108.0
dobovec,Zasavska,2015,Mar,18.0,7.0,4.0,15.0
graska gora,Koroška,2015,Mar,,3.0,,
hrastnik,Zasavska,2015,Mar,30.0,4.0,,
iskrba,Jugovzhodna Slovenija,2015,Mar,15.0,,7.0,
koper,Obalno-kraška,2015,Mar,23.0,,15.0,87.0
kovk,Zasavska,2015,Mar,21.0,6.0,10.0,61.0
kranj,Gorenjska,2015,Mar,34.0,,,
kum,Zasavska,2015,Mar,,4.0,,
lj bezigrad,Osrednjeslovenska,2015,Mar,31.0,,32.0,123.0
lj biotehniska,Osrednjeslovenska,2015,Mar,29.0,,,
lj center,Osrednjeslovenska,2015,Mar,51.0,3.0,44.0,114.0
ljubljana bezigrad,Osrednjeslovenska,2015,Mar,,5.0,,
maribor,Podravska,2015,Mar,35.0,,37.0,134.0
mb vrbanski,Podravska,2015,Mar,24.0,,,
ms rakican,Pomurska,2015,Mar,33.0,,14.0,67.0
nova gorica,Goriška,2015,Mar,24.0,,24.0,95.0
novo mesto,Jugovzhodna Slovenija,2015,Mar,34.0,,,
pesje,Posavska,2015,Mar,31.0,8.0,,
prapretno,Zasavska,2015,Mar,28.0,,,
ravenska vas,Zasavska,2015,Mar,,5.0,,
skale,Savinjska,2015,Mar,23.0,5.0,8.0,36.0
sostanj,Savinjska,2015,Mar,17.0,5.0,,
sv. mohor,Savinjska,2015,Mar,,6.0,9.0,36.0
topolsica,Savinjska,2015,Mar,,3.0,,
trbovlje,Zasavska,2015,Mar,38.0,7.0,19.0,73.0
velenje,Savinjska,2015,Mar,32.0,2.0,,
veliki vrh,Savinjska,2015,Mar,,5.0,,
vnajnarje,Osrednjeslovenska,2015,Mar,28.0,6.0,6.0,59.0
zagorje,Zasavska,2015,Mar,41.0,4.0,34.0,84.0
zavodnje,Savinjska,2015,Mar,,4.0,10.0,64.0
zelena trava,Zasavska,2015,Mar,23.0,6.0,21.0,61.0
zerjav,Koroška,2015,Mar,31.0,,,
amp gaji,Savinjska,2015,Apr,25.0,3.0,20.0,75.0
celje,Savinjska,2015,Apr,18.0,3.0,25.0,89.0
dobovec,Zasavska,2015,Apr,14.0,7.0,3.0,9.0
graska gora,Koroška,2015,Apr,,2.0,,
hrastnik,Zasavska,2015,Apr,17.0,2.0,,
iskrba,Jugovzhodna Slovenija,2015,Apr,9.0,,6.0,
koper,Obalno-kraška,2015,Apr,20.0,,14.0,90.0
kovk,Zasavska,2015,Apr,14.0,5.0,6.0,21.0
kranj,Gorenjska,2015,Apr,17.0,,,
kum,Zasavska,2015,Apr,,7.0,,
lj bezigrad,Osrednjeslovenska,2015,Apr,19.0,,22.0,110.0
lj biotehniska,Osrednjeslovenska,2015,Apr,18.0,,,
lj center,Osrednjeslovenska,2015,Apr,34.0,2.0,36.0,97.0
ljubljana bezigrad,Osrednjeslovenska,2015,Apr,,5.0,,
maribor,Podravska,2015,Apr,20.0,,32.0,118.0
mb vrbanski,Podravska,2015,Apr,17.0,,,
ms rakican,Pomurska,2015,Apr,17.0,,11.0,65.0
nova gorica,Goriška,2015,Apr,18.0,,23.0,89.0
novo mesto,Jugovzhodna Slovenija,2015,Apr,16.0,,,
pesje,Posavska,2015,Apr,22.0,9.0,,
prapretno,Zasavska,2015,Apr,21.0,,,
ravenska vas,Zasavska,2015,Apr,,8.0,,
skale,Savinjska,2015,Apr,18.0,3.0,4.0,37.0
sostanj,Savinjska,2015,Apr,10.0,6.0,,
sv. mohor,Savinjska,2015,Apr,,6.0,5.0,20.0
topolsica,Savinjska,2015,Apr,,5.0,,
trbovlje,Zasavska,2015,Apr,22.0,8.0,17.0,63.0
velenje,Savinjska,2015,Apr,16.0,4.0,,
veliki vrh,Savinjska,2015,Apr,,3.0,,
vnajnarje,Osrednjeslovenska,2015,Apr,21.0,7.0,5.0,30.0
zagorje,Zasavska,2015,Apr,22.0,4.0,24.0,71.0
zavodnje,Savinjska,2015,Apr,,3.0,5.0,55.0
zelena trava,Zasavska,2015,Apr,15.0,8.0,16.0,47.0
zerjav,Koroška,2015,Apr,18.0,,,
amp gaji,Savinjska,2015,Maj,18.0,1.0,19.0,56.0
celje,Savinjska,2015,Maj,15.0,5.0,23.0,94.0
dobovec,Zasavska,2015,Maj,9.0,3.0,2.0,9.0
graska gora,Koroška,2015,Maj,,5.0,,
hrastnik,Zasavska,2015,Maj,14.0,5.0,,
iskrba,Jugovzhodna Slovenija,2015,Maj,10.0,,5.0,
koper,Obalno-kraška,2015,Maj,15.0,,11.0,53.0
kovk,Zasavska,2015,Maj,8.0,7.0,6.0,21.0
kranj,Gorenjska,2015,Maj,16.0,,,
kum,Zasavska,2015,Maj,,5.0,,
lj bezigrad,Osrednjeslovenska,2015,Maj,16.0,,18.0,72.0
lj biotehniska,Osrednjeslovenska,2015,Maj,18.0,,,
lj center,Osrednjeslovenska,2015,Maj,26.0,3.0,34.0,94.0
ljubljana bezigrad,Osrednjeslovenska,2015,Maj,,4.0,,
maribor,Podravska,2015,Maj,20.0,,29.0,93.0
mb vrbanski,Podravska,2015,Maj,13.0,,,
ms rakican,Pomurska,2015,Maj,14.0,,8.0,31.0
nova gorica,Goriška,2015,Maj,14.0,,17.0,75.0
novo mesto,Jugovzhodna Slovenija,2015,Maj,13.0,,,
pesje,Posavska,2015,Maj,16.0,6.0,,
prapretno,Zasavska,2015,Maj,16.0,,,
ravenska vas,Zasavska,2015,Maj,,7.0,,
skale,Savinjska,2015,Maj,14.0,7.0,4.0,49.0
sostanj,Savinjska,2015,Maj,7.0,4.0,,
sv. mohor,Savinjska,2015,Maj,,6.0,4.0,14.0
topolsica,Savinjska,2015,Maj,,7.0,,
trbovlje,Zasavska,2015,Maj,15.0,7.0,13.0,58.0
velenje,Savinjska,2015,Maj,13.0,3.0,,
veliki vrh,Savinjska,2015,Maj,,2.0,,
vnajnarje,Osrednjeslovenska,2015,Maj,17.0,7.0,4.0,14.0
zagorje,Zasavska,2015,Maj,17.0,2.0,19.0,63.0
zavodnje,Savinjska,2015,Maj,,4.0,5.0,50.0
zelena trava,Zasavska,2015,Maj,10.0,9.0,15.0,82.0
zerjav,Koroška,2015,Maj,18.0,,,
amp gaji,Savinjska,2015,Jun,21.0,0.0,17.0,50.0
celje,Savinjska,2015,Jun,18.0,4.0,24.0,55.0
dobovec,Zasavska,2015,Jun,11.0,7.0,2.0,8.0
graska gora,Koroška,2015,Jun,,7.0,,
hrastnik,Zasavska,2015,Jun,17.0,2.0,,
iskrba,Jugovzhodna Slovenija,2015,Jun,14.0,,4.0,
koper,Obalno-kraška,2015,Jun,16.0,,13.0,56.0
kovk,Zasavska,2015,Jun,12.0,8.0,5.0,27.0
kranj,Gorenjska,2015,Jun,17.0,,,
kum,Zasavska,2015,Jun,,4.0,,
lj bezigrad,Osrednjeslovenska,2015,Jun,19.0,,18.0,67.0
lj biotehniska,Osrednjeslovenska,2015,Jun,19.0,,,
lj center,Osrednjeslovenska,2015,Jun,28.0,2.0,32.0,80.0
ljubljana bezigrad,Osrednjeslovenska,2015,Jun,,5.0,,
maribor,Podravska,2015,Jun,21.0,,27.0,101.0
mb vrbanski,Podravska,2015,Jun,14.0,,,
ms rakican,Pomurska,2015,Jun,17.0,,10.0,39.0
nova gorica,Goriška,2015,Jun,16.0,,15.0,65.0
novo mesto,Jugovzhodna Slovenija,2015,Jun,18.0,,,
pesje,Posavska,2015,Jun,21.0,4.0,,
prapretno,Zasavska,2015,Jun,18.0,,,
ravenska vas,Zasavska,2015,Jun,,7.0,,
skale,Savinjska,2015,Jun,15.0,5.0,4.0,23.0
sostanj,Savinjska,2015,Jun,10.0,2.0,,
sv. mohor,Savinjska,2015,Jun,,5.0,1.0,11.0
topolsica,Savinjska,2015,Jun,,5.0,,
trbovlje,Zasavska,2015,Jun,18.0,4.0,13.0,42.0
velenje,Savinjska,2015,Jun,17.0,2.0,,
veliki vrh,Savinjska,2015,Jun,,2.0,,
vnajnarje,Osrednjeslovenska,2015,Jun,18.0,6.0,6.0,20.0
zagorje,Zasavska,2015,Jun,19.0,1.0,18.0,46.0
zavodnje,Savinjska,2015,Jun,,1.0,4.0,23.0
zelena trava,Zasavska,2015,Jun,13.0,10.0,14.0,35.0
zerjav,Koroška,2015,Jun,30.0,,,
amp gaji,Savinjska,2015,Jul,20.0,2.0,17.0,54.0
celje,Savinjska,2015,Jul,20.0,2.0,18.0,37.0
dobovec,Zasavska,2015,Jul,9.0,8.0,1.0,7.0
graska gora,Koroška,2015,Jul,,7.0,,
hrastnik,Zasavska,2015,Jul,19.0,3.0,,
iskrba,Jugovzhodna Slovenija,2015,Jul,16.0,,5.0,
koper,Obalno-kraška,2015,Jul,21.0,,14.0,64.0
kovk,Zasavska,2015,Jul,10.0,6.0,4.0,35.0
kranj,Gorenjska,2015,Jul,19.0,,,
kum,Zasavska,2015,Jul,,4.0,,
lj bezigrad,Osrednjeslovenska,2015,Jul,19.0,,20.0,60.0
lj biotehniska,Osrednjeslovenska,2015,Jul,21.0,,,
lj center,Osrednjeslovenska,2015,Jul,30.0,1.0,30.0,83.0
ljubljana bezigrad,Osrednjeslovenska,2015,Jul,,3.0,,
maribor,Podravska,2015,Jul,21.0,,26.0,72.0
mb vrbanski,Podravska,2015,Jul,15.0,,,
ms rakican,Pomurska,2015,Jul,18.0,,9.0,33.0
nova gorica,Goriška,2015,Jul,20.0,,16.0,78.0
novo mesto,Jugovzhodna Slovenija,2015,Jul,19.0,,,
pesje,Posavska,2015,Jul,20.0,4.0,,
prapretno,Zasavska,2015,Jul,17.0,,,
ravenska vas,Zasavska,2015,Jul,,6.0,,
skale,Savinjska,2015,Jul,13.0,7.0,6.0,55.0
sostanj,Savinjska,2015,Jul,10.0,4.0,,
sv. mohor,Savinjska,2015,Jul,,6.0,2.0,15.0
topolsica,Savinjska,2015,Jul,,5.0,,
trbovlje,Zasavska,2015,Jul,21.0,4.0,13.0,47.0
velenje,Savinjska,2015,Jul,18.0,4.0,,
veliki vrh,Savinjska,2015,Jul,,6.0,,
vnajnarje,Osrednjeslovenska,2015,Jul,18.0,6.0,6.0,16.0
zagorje,Zasavska,2015,Jul,20.0,1.0,17.0,53.0
zavodnje,Savinjska,2015,Jul,,1.0,6.0,47.0
zelena trava,Zasavska,2015,Jul,12.0,2.0,18.0,62.0
zerjav,Koroška,2015,Jul,22.0,,,
amp gaji,Savinjska,2015,Avg,19.0,3.0,4.0,39.0
celje,Savinjska,2015,Avg,22.0,3.0,18.0,68.0
dobovec,Zasavska,2015,Avg,7.0,10.0,1.0,21.0
graska gora,Koroška,2015,Avg,,6.0,,
hrastnik,Zasavska,2015,Avg,21.0,5.0,,
iskrba,Jugovzhodna Slovenija,2015,Avg,17.0,,7.0,
koper,Obalno-kraška,2015,Avg,22.0,,13.0,60.0
kovk,Zasavska,2015,Avg,10.0,8.0,4.0,15.0
kranj,Gorenjska,2015,Avg,21.0,,,
kum,Zasavska,2015,Avg,,4.0,,
lj bezigrad,Osrednjeslovenska,2015,Avg,23.0,,23.0,78.0
lj biotehniska,Osrednjeslovenska,2015,Avg,23.0,,,
lj center,Osrednjeslovenska,2015,Avg,27.0,1.0,31.0,96.0
ljubljana bezigrad,Osrednjeslovenska,2015,Avg,,3.0,,
maribor,Podravska,2015,Avg,23.0,,28.0,74.0
mb vrbanski,Podravska,2015,Avg,12.0,,,
ms rakican,Pomurska,2015,Avg,24.0,,9.0,29.0
nova gorica,Goriška,2015,Avg,19.0,,16.0,86.0
novo mesto,Jugovzhodna Slovenija,2015,Avg,22.0,,,
pesje,Posavska,2015,Avg,19.0,4.0,,
prapretno,Zasavska,2015,Avg,14.0,,,
ravenska vas,Zasavska,2015,Avg,,9.0,,
skale,Savinjska,2015,Avg,12.0,8.0,5.0,48.0
sostanj,Savinjska,2015,Avg,10.0,4.0,,
sv. mohor,Savinjska,2015,Avg,,5.0,1.0,11.0
topolsica,Savinjska,2015,Avg,,8.0,,
trbovlje,Zasavska,2015,Avg,21.0,5.0,13.0,41.0
velenje,Savinjska,2015,Avg,20.0,6.0,,
veliki vrh,Savinjska,2015,Avg,,9.0,,
vnajnarje,Osrednjeslovenska,2015,Avg,15.0,4.0,7.0,24.0
zagorje,Zasavska,2015,Avg,22.0,2.0,15.0,45.0
zavodnje,Savinjska,2015,Avg,,2.0,4.0,44.0
zelena trava,Zasavska,2015,Avg,11.0,3.0,21.0,36.0
zerjav,Koroška,2015,Avg,20.0,,,
amp gaji,Savinjska,2015,Sep,20.0,4.0,14.0,59.0
celje,Savinjska,2015,Sep,18.0,3.0,21.0,75.0
dobovec,Zasavska,2015,Sep,10.0,3.0,1.0,6.0
graska gora,Koroška,2015,Sep,,2.0,,
hrastnik,Zasavska,2015,Sep,15.0,9.0,,
iskrba,Jugovzhodna Slovenija,2015,Sep,13.0,,4.0,
koper,Obalno-kraška,2015,Sep,16.0,,11.0,58.0
kovk,Zasavska,2015,Sep,11.0,7.0,4.0,14.0
kranj,Gorenjska,2015,Sep,16.0,,,
kum,Zasavska,2015,Sep,,5.0,,
lj bezigrad,Osrednjeslovenska,2015,Sep,17.0,,26.0,90.0
lj biotehniska,Osrednjeslovenska,2015,Sep,17.0,,,
lj center,Osrednjeslovenska,2015,Sep,31.0,1.0,28.0,76.0
ljubljana bezigrad,Osrednjeslovenska,2015,Sep,,3.0,,
maribor,Podravska,2015,Sep,16.0,,29.0,98.0
mb vrbanski,Podravska,2015,Sep,14.0,,,
ms rakican,Pomurska,2015,Sep,13.0,,9.0,44.0
nova gorica,Goriška,2015,Sep,16.0,,15.0,64.0
novo mesto,Jugovzhodna Slovenija,2015,Sep,16.0,,,
pesje,Posavska,2015,Sep,20.0,3.0,,
prapretno,Zasavska,2015,Sep,17.0,,,
ravenska vas,Zasavska,2015,Sep,,5.0,,
skale,Savinjska,2015,Sep,14.0,3.0,3.0,28.0
sostanj,Savinjska,2015,Sep,12.0,6.0,,
sv. mohor,Savinjska,2015,Sep,,5.0,3.0,17.0
topolsica,Savinjska,2015,Sep,,4.0,,
trbovlje,Zasavska,2015,Sep,15.0,5.0,14.0,61.0
velenje,Savinjska,2015,Sep,14.0,3.0,,
veliki vrh,Savinjska,2015,Sep,,1.0,,
vnajnarje,Osrednjeslovenska,2015,Sep,18.0,6.0,9.0,35.0
zagorje,Zasavska,2015,Sep,16.0,2.0,18.0,54.0
zavodnje,Savinjska,2015,Sep,,1.0,3.0,48.0
zelena trava,Zasavska,2015,Sep,11.0,4.0,19.0,29.0
zerjav,Koroška,2015,Sep,17.0,,,
amp gaji,Savinjska,2015,Okt,30.0,6.0,16.0,50.0
celje,Savinjska,2015,Okt,30.0,5.0,24.0,65.0
dobovec,Zasavska,2015,Okt,12.0,6.0,2.0,12.0
graska gora,Koroška,2015,Okt,,3.0,,
hrastnik,Zasavska,2015,Okt,21.0,8.0,,
iskrba,Jugovzhodna Slovenija,2015,Okt,11.0,,8.0,
koper,Obalno-kraška,2015,Okt,13.0,,13.0,65.0
kovk,Zasavska,2015,Okt,14.0,9.0,6.0,21.0
kranj,Gorenjska,2015,Okt,23.0,,,
kum,Zasavska,2015,Okt,,6.0,,
lj bezigrad,Osrednjeslovenska,2015,Okt,24.0,,30.0,75.0
lj biotehniska,Osrednjeslovenska,2015,Okt,22.0,,,
lj center,Osrednjeslovenska,2015,Okt,37.0,2.0,37.0,75.0
ljubljana bezigrad,Osrednjeslovenska,2015,Okt,,4.0,,
maribor,Podravska,2015,Okt,26.0,,29.0,65.0
mb vrbanski,Podravska,2015,Okt,20.0,,,
ms rakican,Pomurska,2015,Okt,26.0,,11.0,48.0
nova gorica,Goriška,2015,Okt,14.0,,23.0,80.0
novo mesto,Jugovzhodna Slovenija,2015,Okt,24.0,,,
pesje,Posavska,2015,Okt,29.0,5.0,,
prapretno,Zasavska,2015,Okt,21.0,,,
ravenska vas,Zasavska,2015,Okt,,5.0,,
skale,Savinjska,2015,Okt,18.0,4.0,6.0,26.0
sostanj,Savinjska,2015,Okt,16.0,5.0,,
sv. mohor,Savinjska,2015,Okt,,4.0,6.0,21.0
topolsica,Savinjska,2015,Okt,,5.0,,
trbovlje,Zasavska,2015,Okt,25.0,7.0,18.0,49.0
velenje,Savinjska,2015,Okt,19.0,4.0,,
veliki vrh,Savinjska,2015,Okt,,2.0,,
vnajnarje,Osrednjeslovenska,2015,Okt,14.0,5.0,10.0,34.0
zagorje,Zasavska,2015,Okt,26.0,5.0,20.0,57.0
zavodnje,Savinjska,2015,Okt,,1.0,5.0,47.0
zelena trava,Zasavska,2015,Okt,17.0,4.0,21.0,35.0
zerjav,Koroška,2015,Okt,21.0,,,
amp gaji,Savinjska,2015,Nov,37.0,7.0,27.0,81.0
celje,Savinjska,2015,Nov,48.0,9.0,32.0,96.0
dobovec,Zasavska,2015,Nov,11.0,6.0,3.0,11.0
graska gora,Koroška,2015,Nov,,3.0,,
hrastnik,Zasavska,2015,Nov,31.0,4.0,,
iskrba,Jugovzhodna Slovenija,2015,Nov,12.0,,7.0,
koper,Obalno-kraška,2015,Nov,36.0,,23.0,69.0
kovk,Zasavska,2015,Nov,13.0,6.0,10.0,59.0
kranj,Gorenjska,2015,Nov,35.0,,,
kum,Zasavska,2015,Nov,,3.0,,
lj bezigrad,Osrednjeslovenska,2015,Nov,41.0,,41.0,153.0
lj biotehniska,Osrednjeslovenska,2015,Nov,38.0,,,
lj center,Osrednjeslovenska,2015,Nov,44.0,3.0,34.0,108.0
ljubljana bezigrad,Osrednjeslovenska,2015,Nov,,6.0,,
maribor,Podravska,2015,Nov,33.0,,29.0,86.0
mb vrbanski,Podravska,2015,Nov,26.0,,,
ms rakican,Pomurska,2015,Nov,48.0,,18.0,72.0
nova gorica,Goriška,2015,Nov,33.0,,32.0,109.0
novo mesto,Jugovzhodna Slovenija,2015,Nov,39.0,,,
pesje,Posavska,2015,Nov,28.0,6.0,,
prapretno,Zasavska,2015,Nov,23.0,,,
ravenska vas,Zasavska,2015,Nov,,8.0,,
skale,Savinjska,2015,Nov,19.0,4.0,9.0,31.0
sostanj,Savinjska,2015,Nov,18.0,1.0,,
sv. mohor,Savinjska,2015,Nov,,5.0,10.0,36.0
topolsica,Savinjska,2015,Nov,,5.0,,
trbovlje,Zasavska,2015,Nov,40.0,8.0,26.0,72.0
velenje,Savinjska,2015,Nov,29.0,2.0,,
veliki vrh,Savinjska,2015,Nov,,2.0,,
vnajnarje,Osrednjeslovenska,2015,Nov,14.0,4.0,18.0,62.0
zagorje,Zasavska,2015,Nov,47.0,3.0,29.0,80.0
zavodnje,Savinjska,2015,Nov,,2.0,8.0,51.0
zelena trava,Zasavska,2015,Nov,20.0,3.0,27.0,50.0
zerjav,Koroška,2015,Nov,26.0,,,
amp gaji,Savinjska,2015,Dec,37.0,8.0,30.0,77.0
celje,Savinjska,2015,Dec,63.0,8.0,37.0,101.0
dobovec,Zasavska,2015,Dec,6.0,2.0,2.0,14.0
graska gora,Koroška,2015,Dec,,3.0,,
hrastnik,Zasavska,2015,Dec,39.0,3.0,,
iskrba,Jugovzhodna Slovenija,2015,Dec,12.0,,20.0,
koper,Obalno-kraška,2015,Dec,50.0,,33.0,71.0
kovk,Zasavska,2015,Dec,7.0,1.0,13.0,42.0
kranj,Gorenjska,2015,Dec,46.0,,,
kum,Zasavska,2015,Dec,,2.0,,
lj bezigrad,Osrednjeslovenska,2015,Dec,47.0,,44.0,155.0
lj biotehniska,Osrednjeslovenska,2015,Dec,46.0,,,
lj center,Osrednjeslovenska,2015,Dec,45.0,2.0,,101.0
ljubljana bezigrad,Osrednjeslovenska,2015,Dec,,7.0,,
maribor,Podravska,2015,Dec,41.0,,24.0,68.0
mb vrbanski,Podravska,2015,Dec,19.0,,,
ms rakican,Pomurska,2015,Dec,48.0,,20.0,61.0
nova gorica,Goriška,2015,Dec,46.0,,36.0,92.0
novo mesto,Jugovzhodna Slovenija,2015,Dec,44.0,,,
pesje,Posavska,2015,Dec,19.0,9.0,,
prapretno,Zasavska,2015,Dec,17.0,,,
ravenska vas,Zasavska,2015,Dec,,6.0,,
skale,Savinjska,2015,Dec,14.0,4.0,22.0,55.0
sostanj,Savinjska,2015,Dec,17.0,,,
sv. mohor,Savinjska,2015,Dec,,4.0,15.0,54.0
topolsica,Savinjska,2015,Dec,,1.0,,
trbovlje,Zasavska,2015,Dec,45.0,6.0,26.0,63.0
velenje,Savinjska,2015,Dec,30.0,2.0,,
veliki vrh,Savinjska,2015,Dec,,5.0,,
vnajnarje,Osrednjeslovenska,2015,Dec,10.0,5.0,18.0,49.0
zagorje,Zasavska,2015,Dec,56.0,3.0,33.0,75.0
zavodnje,Savinjska,2015,Dec,,4.0,12.0,53.0
zelena trava,Zasavska,2015,Dec,13.0,3.0,27.0,50.0
zerjav,Koroška,2015,Dec,39.0,,,
amp gaji,Savinjska,2016,Jan,62.0,5.0,28.0,85.0
celje,Savinjska,2016,Jan,68.0,8.0,43.0,132.0
dobovec,Zasavska,2016,Jan,,6.0,3.0,4.0
gorenje polje,Goriška,2016,Jan,27.0,,,
graska gora,Koroška,2016,Jan,,4.0,,
hrastnik,Zasavska,2016,Jan,46.0,8.0,,
iskrba,Jugovzhodna Slovenija,2016,Jan,13.0,0.5,3.0,
koper,Obalno-kraška,2016,Jan,40.0,,31.0,45.0
kovk,Zasavska,2016,Jan,,6.0,14.0,15.0
kranj,Gorenjska,2016,Jan,51.0,,,
kum,Zasavska,2016,Jan,,3.0,,
lj bezigrad,Osrednjeslovenska,2016,Jan,54.0,5.0,51.0,132.0
lj biotehniska,Osrednjeslovenska,2016,Jan,58.0,,,
lj center,Osrednjeslovenska,2016,Jan,70.0,1.0,40.0,111.0
maribor,Podravska,2016,Jan,54.0,,29.0,96.0
mb vrbanski,Podravska,2016,Jan,39.0,,,
miklavz,Podravska,2016,Jan,56.0,,,
morsko,Goriška,2016,Jan,36.0,,,
