Postaja,Regija,Datum,SO2
zavodnje,Savinjska,1999-02-28,250.0
velenje,Savinjska,1999-02-28,49.0
skale,Savinjska,1999-02-28,126.0
eis celje,Savinjska,1999-02-28,70.0
trbovlje,Zasavska,1999-02-28,75.0
hrastnik,Zasavska,1999-02-28,45.0
zagorje,Zasavska,1999-02-28,90.0
kovk,Zasavska,1999-02-28,320.0
dobovec,Zasavska,1999-02-28,224.0
kum,Zasavska,1999-02-28,89.0
ravenska vas,Zasavska,1999-02-28,112.0
graska gora,Koroška,1999-03-31,292.0
ljubljana f.,Osrednjeslovenska,1999-03-31,87.0
ljubljana b.,Osrednjeslovenska,1999-03-31,71.0
vnajnarje,Osrednjeslovenska,1999-03-31,99.0
maribor,Podravska,1999-03-31,70.0
eis krsko,Posavska,1999-03-31,42.0
celje,Savinjska,1999-03-31,32.0
sostanj,Savinjska,1999-03-31,408.0
topolsica,Savinjska,1999-03-31,143.0
veliki vrh,Savinjska,1999-03-31,273.0
zavodnje,Savinjska,1999-03-31,218.0
velenje,Savinjska,1999-03-31,51.0
skale,Savinjska,1999-03-31,192.0
eis celje,Savinjska,1999-03-31,42.0
trbovlje,Zasavska,1999-03-31,85.0
hrastnik,Zasavska,1999-03-31,77.0
zagorje,Zasavska,1999-03-31,135.0
kovk,Zasavska,1999-03-31,264.0
dobovec,Zasavska,1999-03-31,116.0
kum,Zasavska,1999-03-31,40.0
ravenska vas,Zasavska,1999-03-31,354.0
graska gora,Koroška,1999-04-30,174.0
ljubljana f.,Osrednjeslovenska,1999-04-30,54.0
ljubljana b.,Osrednjeslovenska,1999-04-30,57.0
vnajnarje,Osrednjeslovenska,1999-04-30,63.0
maribor,Podravska,1999-04-30,37.0
eis krsko,Posavska,1999-04-30,142.0
celje,Savinjska,1999-04-30,23.0
sostanj,Savinjska,1999-04-30,453.0
topolsica,Savinjska,1999-04-30,77.0
veliki vrh,Savinjska,1999-04-30,301.0
zavodnje,Savinjska,1999-04-30,96.0
velenje,Savinjska,1999-04-30,24.0
skale,Savinjska,1999-04-30,66.0
eis celje,Savinjska,1999-04-30,34.0
trbovlje,Zasavska,1999-04-30,49.0
hrastnik,Zasavska,1999-04-30,121.0
zagorje,Zasavska,1999-04-30,55.0
kovk,Zasavska,1999-04-30,329.0
dobovec,Zasavska,1999-04-30,343.0
kum,Zasavska,1999-04-30,193.0
ravenska vas,Zasavska,1999-04-30,171.0
graska gora,Koroška,1999-05-31,118.0
ljubljana f.,Osrednjeslovenska,1999-05-31,90.0
ljubljana b.,Osrednjeslovenska,1999-05-31,94.0
vnajnarje,Osrednjeslovenska,1999-05-31,71.0
maribor,Podravska,1999-05-31,15.0
eis krsko,Posavska,1999-05-31,105.0
celje,Savinjska,1999-05-31,32.0
sostanj,Savinjska,1999-05-31,267.0
topolsica,Savinjska,1999-05-31,74.0
veliki vrh,Savinjska,1999-05-31,184.0
zavodnje,Savinjska,1999-05-31,197.0
velenje,Savinjska,1999-05-31,27.0
skale,Savinjska,1999-05-31,39.0
eis celje,Savinjska,1999-05-31,31.0
trbovlje,Zasavska,1999-05-31,83.0
hrastnik,Zasavska,1999-05-31,57.0
zagorje,Zasavska,1999-05-31,118.0
kovk,Zasavska,1999-05-31,244.0
dobovec,Zasavska,1999-05-31,200.0
kum,Zasavska,1999-05-31,42.0
ravenska vas,Zasavska,1999-05-31,220.0
graska gora,Koroška,1999-06-30,28.0
ljubljana f.,Osrednjeslovenska,1999-06-30,9.0
ljubljana b.,Osrednjeslovenska,1999-06-30,19.0
vnajnarje,Osrednjeslovenska,1999-06-30,12.0
maribor,Podravska,1999-06-30,9.0
eis krsko,Posavska,1999-06-30,92.0
celje,Savinjska,1999-06-30,14.0
sostanj,Savinjska,1999-06-30,163.0
topolsica,Savinjska,1999-06-30,23.0
veliki vrh,Savinjska,1999-06-30,122.0
zavodnje,Savinjska,1999-06-30,45.0
