Postaja,Regija,Leto,Mesec,Snov,Vrednost
ljubljana b.,Osrednjeslovenska,1997,Avg,SO2,24.0
maribor,Podravska,1997,Avg,SO2,12.0
celje,Savinjska,1997,Avg,SO2,10.0
trbovlje,Zasavska,1997,Avg,SO2,21.0
hrastnik,Zasavska,1997,Avg,SO2,10.0
zagorje,Zasavska,1997,Avg,SO2,26.0
sostanj,Savinjska,1997,Avg,SO2,19.0
topolsica,Savinjska,1997,Avg,SO2,13.0
veliki vrh,Savinjska,1997,Avg,SO2,46.0
zavodnje,Savinjska,1997,Avg,SO2,24.0
velenje,Savinjska,1997,Avg,SO2,3.0
graska gora,Koroška,1997,Avg,SO2,15.0
razbor,Posavska,1997,Avg,SO2,
skale,Savinjska,1997,Avg,SO2,7.0
kovk,Zasavska,1997,Avg,SO2,75.0
dobovec,Zasavska,1997,Avg,SO2,63.0
kum,Zasavska,1997,Avg,SO2,29.0
ravenska vas,Zasavska,1997,Avg,SO2,92.0
vnajnarje,Osrednjeslovenska,1997,Avg,SO2,10.0
eis celje,Savinjska,1997,Avg,SO2,16.0
eis krsko,Posavska,1997,Avg,SO2,14.0
ljubljana f.,Osrednjeslovenska,1997,Avg,NO2,
maribor,Podravska,1997,Avg,NO2,31.0
celje,Savinjska,1997,Avg,NO2,
trbovlje,Zasavska,1997,Avg,NO2,27.0
zavodnje,Savinjska,1997,Avg,NO2,4.0
razbor,Posavska,1997,Avg,NO2,
skale,Savinjska,1997,Avg,NO2,4.0
kovk,Zasavska,1997,Avg,NO2,4.0
vnajnarje,Osrednjeslovenska,1997,Avg,NO2,3.0
eis celje,Savinjska,1997,Avg,NO2,38.0
ljubljana f.,Osrednjeslovenska,1997,Avg,NOX,
maribor,Podravska,1997,Avg,NOX,39.0
celje,Savinjska,1997,Avg,NOX,
trbovlje,Zasavska,1997,Avg,NOX,46.0
zavodnje,Savinjska,1997,Avg,NOX,5.0
razbor,Posavska,1997,Avg,NOX,
skale,Savinjska,1997,Avg,NOX,5.0
kovk,Zasavska,1997,Avg,NOX,4.0
vnajnarje,Osrednjeslovenska,1997,Avg,NOX,3.0
ljubljana f.,Osrednjeslovenska,1997,Sep,SO2,8.0
ljubljana b.,Osrednjeslovenska,1997,Sep,SO2,15.0
maribor,Podravska,1997,Sep,SO2,14.0
celje,Savinjska,1997,Sep,SO2,13.0
trbovlje,Zasavska,1997,Sep,SO2,24.0
hrastnik,Zasavska,1997,Sep,SO2,17.0
zagorje,Zasavska,1997,Sep,SO2,33.0
sostanj,Savinjska,1997,Sep,SO2,29.0
topolsica,Savinjska,1997,Sep,SO2,21.0
veliki vrh,Savinjska,1997,Sep,SO2,46.0
zavodnje,Savinjska,1997,Sep,SO2,41.0
velenje,Savinjska,1997,Sep,SO2,5.0
graska gora,Koroška,1997,Sep,SO2,25.0
razbor,Posavska,1997,Sep,SO2,
skale,Savinjska,1997,Sep,SO2,13.0
kovk,Zasavska,1997,Sep,SO2,40.0
dobovec,Zasavska,1997,Sep,SO2,30.0
kum,Zasavska,1997,Sep,SO2,10.0
ravenska vas,Zasavska,1997,Sep,SO2,108.0
vnajnarje,Osrednjeslovenska,1997,Sep,SO2,10.0
eis celje,Savinjska,1997,Sep,SO2,15.0
eis krsko,Posavska,1997,Sep,SO2,67.0
ljubljana f.,Osrednjeslovenska,1997,Sep,NO2,
maribor,Podravska,1997,Sep,NO2,35.0
celje,Savinjska,1997,Sep,NO2,
trbovlje,Zasavska,1997,Sep,NO2,32.0
zavodnje,Savinjska,1997,Sep,NO2,6.0
razbor,Posavska,1997,Sep,NO2,
