Postaja,Regija,Datum,SO2,PM10,NO2
velenje,Savinjska,1997-12-31,10.0,,
veliki vrh,Savinjska,1997-12-31,95.0,,
zavodnje,Savinjska,1997-12-31,41.0,,7.0
dobovec,Zasavska,1997-12-31,58.0,,
hrastnik,Zasavska,1997-12-31,27.0,,
kovk,Zasavska,1997-12-31,50.0,,11.0
kum,Zasavska,1997-12-31,28.0,,
ravenska vas,Zasavska,1997-12-31,83.0,,
trbovlje,Zasavska,1997-12-31,57.0,,32.0
zagorje,Zasavska,1997-12-31,23.0,,
graska gora,Koroška,1998-01-31,41.0,,
ljubljana b.,Osrednjeslovenska,1998-01-31,35.0,,
ljubljana f.,Osrednjeslovenska,1998-01-31,29.0,,44.0
vnajnarje,Osrednjeslovenska,1998-01-31,26.0,,1.0
maribor,Podravska,1998-01-31,26.0,,43.0
eis krsko,Posavska,1998-01-31,72.0,,
celje,Savinjska,1998-01-31,37.0,,
eis celje,Savinjska,1998-01-31,47.0,,
skale,Savinjska,1998-01-31,21.0,,10.0
skale,Savinjska,1998-01-31,21.0,,51.0
skale,Savinjska,1998-01-31,38.0,,10.0
skale,Savinjska,1998-01-31,38.0,,51.0
sostanj,Savinjska,1998-01-31,33.0,,
topolsica,Savinjska,1998-01-31,19.0,,
velenje,Savinjska,1998-01-31,14.0,,
veliki vrh,Savinjska,1998-01-31,112.0,,
zavodnje,Savinjska,1998-01-31,56.0,,9.0
dobovec,Zasavska,1998-01-31,79.0,,
hrastnik,Zasavska,1998-01-31,24.0,,
kovk,Zasavska,1998-01-31,91.0,,9.0
kum,Zasavska,1998-01-31,15.0,,
ravenska vas,Zasavska,1998-01-31,68.0,,
trbovlje,Zasavska,1998-01-31,49.0,,32.0
zagorje,Zasavska,1998-01-31,36.0,,
graska gora,Koroška,1998-02-28,42.0,,
ljubljana b.,Osrednjeslovenska,1998-02-28,72.0,,
ljubljana f.,Osrednjeslovenska,1998-02-28,57.0,,62.0
vnajnarje,Osrednjeslovenska,1998-02-28,36.0,,1.0
maribor,Podravska,1998-02-28,27.0,,49.0
eis krsko,Posavska,1998-02-28,148.0,,
celje,Savinjska,1998-02-28,53.0,,
eis celje,Savinjska,1998-02-28,68.0,,65.0
skale,Savinjska,1998-02-28,31.0,,10.0
skale,Savinjska,1998-02-28,31.0,,77.0
skale,Savinjska,1998-02-28,53.0,,10.0
skale,Savinjska,1998-02-28,53.0,,77.0
sostanj,Savinjska,1998-02-28,42.0,,
topolsica,Savinjska,1998-02-28,35.0,,
velenje,Savinjska,1998-02-28,19.0,,
veliki vrh,Savinjska,1998-02-28,101.0,,
zavodnje,Savinjska,1998-02-28,66.0,,8.0
dobovec,Zasavska,1998-02-28,61.0,,
hrastnik,Zasavska,1998-02-28,36.0,,
kovk,Zasavska,1998-02-28,86.0,,9.0
kum,Zasavska,1998-02-28,22.0,,
ravenska vas,Zasavska,1998-02-28,87.0,,
trbovlje,Zasavska,1998-02-28,72.0,,41.0
zagorje,Zasavska,1998-02-28,44.0,,
graska gora,Koroška,1998-03-31,46.0,,
ljubljana b.,Osrednjeslovenska,1998-03-31,49.0,,
ljubljana f.,Osrednjeslovenska,1998-03-31,42.0,,61.0
vnajnarje,Osrednjeslovenska,1998-03-31,24.0,,1.0
maribor,Podravska,1998-03-31,21.0,,45.0
eis krsko,Posavska,1998-03-31,30.0,,
celje,Savinjska,1998-03-31,25.0,,37.0
eis celje,Savinjska,1998-03-31,32.0,,55.0
skale,Savinjska,1998-03-31,40.0,,10.0
skale,Savinjska,1998-03-31,40.0,,48.0
skale,Savinjska,1998-03-31,34.0,,10.0
skale,Savinjska,1998-03-31,34.0,,48.0
sostanj,Savinjska,1998-03-31,25.0,,
topolsica,Savinjska,1998-03-31,28.0,,
velenje,Savinjska,1998-03-31,15.0,,
veliki vrh,Savinjska,1998-03-31,62.0,,
zavodnje,Savinjska,1998-03-31,46.0,,6.0
dobovec,Zasavska,1998-03-31,43.0,,
hrastnik,Zasavska,1998-03-31,24.0,,
kovk,Zasavska,1998-03-31,63.0,,8.0
kum,Zasavska,1998-03-31,22.0,,
ravenska vas,Zasavska,1998-03-31,78.0,,
trbovlje,Zasavska,1998-03-31,39.0,,33.0
zagorje,Zasavska,1998-03-31,32.0,,
graska gora,Koroška,1998-04-30,52.0,,
ljubljana b.,Osrednjeslovenska,1998-04-30,16.0,,
ljubljana f.,Osrednjeslovenska,1998-04-30,21.0,,31.0
vnajnarje,Osrednjeslovenska,1998-04-30,17.0,,0.0
maribor,Podravska,1998-04-30,17.0,,50.0
eis krsko,Posavska,1998-04-30,31.0,,
celje,Savinjska,1998-04-30,17.0,,26.0
eis celje,Savinjska,1998-04-30,24.0,,45.0
skale,Savinjska,1998-04-30,28.0,,9.0
skale,Savinjska,1998-04-30,28.0,,47.0
skale,Savinjska,1998-04-30,18.0,,9.0
skale,Savinjska,1998-04-30,18.0,,47.0
sostanj,Savinjska,1998-04-30,119.0,,
topolsica,Savinjska,1998-04-30,12.0,,
velenje,Savinjska,1998-04-30,7.0,,
veliki vrh,Savinjska,1998-04-30,30.0,,
zavodnje,Savinjska,1998-04-30,28.0,,5.0
dobovec,Zasavska,1998-04-30,27.0,,
hrastnik,Zasavska,1998-04-30,33.0,,
kovk,Zasavska,1998-04-30,106.0,,7.0
kum,Zasavska,1998-04-30,16.0,,
ravenska vas,Zasavska,1998-04-30,52.0,,
trbovlje,Zasavska,1998-04-30,21.0,,29.0
zagorje,Zasavska,1998-04-30,14.0,,
graska gora,Koroška,1998-05-31,22.0,,
ljubljana b.,Osrednjeslovenska,1998-05-31,10.0,,
ljubljana f.,Osrednjeslovenska,1998-05-31,12.0,,
vnajnarje,Osrednjeslovenska,1998-05-31,12.0,,0.0
maribor,Podravska,1998-05-31,12.0,,36.0
eis krsko,Posavska,1998-05-31,59.0,,
celje,Savinjska,1998-05-31,9.0,,22.0
eis celje,Savinjska,1998-05-31,15.0,,42.0
skale,Savinjska,1998-05-31,11.0,,6.0
skale,Savinjska,1998-05-31,11.0,,43.0
skale,Savinjska,1998-05-31,10.0,,6.0
skale,Savinjska,1998-05-31,10.0,,43.0
sostanj,Savinjska,1998-05-31,38.0,,
topolsica,Savinjska,1998-05-31,16.0,,
velenje,Savinjska,1998-05-31,5.0,,
veliki vrh,Savinjska,1998-05-31,34.0,,
zavodnje,Savinjska,1998-05-31,26.0,,5.0
dobovec,Zasavska,1998-05-31,39.0,,
hrastnik,Zasavska,1998-05-31,17.0,,
kovk,Zasavska,1998-05-31,38.0,,3.0
