Postaja,Regija,Datum,SO2,PM10,NO2
iskrba,Jugovzhodna Slovenija,2012-08-31,5.0,12.0,2.0
novo mesto,Jugovzhodna Slovenija,2012-08-31,,18.0,
graska gora,Koroška,2012-08-31,4.0,,
zerjav,Koroška,2012-08-31,,19.0,
koper,Obalno-kraška,2012-08-31,,21.0,15.0
ljubljana bezigrad,Osrednjeslovenska,2012-08-31,5.0,18.0,16.0
ljubljana bf,Osrednjeslovenska,2012-08-31,,19.0,
ljubljana center,Osrednjeslovenska,2012-08-31,4.0,46.0,51.0
vnajnarje,Osrednjeslovenska,2012-08-31,3.0,25.0,9.0
maribor center,Podravska,2012-08-31,2.0,20.0,29.0
maribor vrbanski p.,Podravska,2012-08-31,,22.0,
maribor vrbanski plato,Podravska,2012-08-31,,,7.0
murska s. rakican,Pomurska,2012-08-31,,18.0,
murska sobota rakican,Pomurska,2012-08-31,,,17.0
brestanica-sv.mohor,Posavska,2012-08-31,3.0,,
pesje,Posavska,2012-08-31,3.0,21.0,
sveti mohor,Posavska,2012-08-31,,,6.0
celje,Savinjska,2012-08-31,5.0,19.0,22.0
skale,Savinjska,2012-08-31,8.0,21.0,7.0
sostanj,Savinjska,2012-08-31,9.0,,
topolsica,Savinjska,2012-08-31,5.0,,
velenje,Savinjska,2012-08-31,4.0,,
veliki vrh,Savinjska,2012-08-31,4.0,,
zavodnje,Savinjska,2012-08-31,3.0,,8.0
dobovec,Zasavska,2012-08-31,5.0,,2.0
hrastnik,Zasavska,2012-08-31,4.0,17.0,
kovk,Zasavska,2012-08-31,8.0,,1.0
kum,Zasavska,2012-08-31,2.0,,
prapretno,Zasavska,2012-08-31,,28.0,
ravenska vas,Zasavska,2012-08-31,11.0,,
trbovlje,Zasavska,2012-08-31,4.0,18.0,14.0
zagorje,Zasavska,2012-08-31,2.0,18.0,19.0
zelena trava,Zasavska,2012-08-31,4.0,16.0,
kranj,Gorenjska,2012-09-30,,19.0,
gorenje polje,Goriška,2012-09-30,,17.0,
morsko,Goriška,2012-09-30,,17.0,
nova gorica,Goriška,2012-09-30,,19.0,24.0
iskrba,Jugovzhodna Slovenija,2012-09-30,3.0,15.0,1.0
novo mesto,Jugovzhodna Slovenija,2012-09-30,,18.0,
graska gora,Koroška,2012-09-30,2.0,,
zerjav,Koroška,2012-09-30,,20.0,
koper,Obalno-kraška,2012-09-30,,19.0,12.0
ljubljana bezigrad,Osrednjeslovenska,2012-09-30,3.0,19.0,19.0
ljubljana bf,Osrednjeslovenska,2012-09-30,,21.0,
ljubljana center,Osrednjeslovenska,2012-09-30,3.0,38.0,49.0
vnajnarje,Osrednjeslovenska,2012-09-30,2.0,22.0,10.0
maribor center,Podravska,2012-09-30,2.0,32.0,27.0
maribor vrbanski p.,Podravska,2012-09-30,,19.0,
maribor vrbanski plato,Podravska,2012-09-30,,,9.0
murska s. rakican,Pomurska,2012-09-30,,19.0,
murska sobota rakican,Pomurska,2012-09-30,,,19.0
brestanica-sv.mohor,Posavska,2012-09-30,2.0,,
pesje,Posavska,2012-09-30,3.0,20.0,
sveti mohor,Posavska,2012-09-30,,,6.0
celje,Savinjska,2012-09-30,5.0,21.0,23.0
skale,Savinjska,2012-09-30,8.0,22.0,4.0
sostanj,Savinjska,2012-09-30,9.0,,
topolsica,Savinjska,2012-09-30,2.0,,
velenje,Savinjska,2012-09-30,4.0,,
veliki vrh,Savinjska,2012-09-30,9.0,,
zavodnje,Savinjska,2012-09-30,2.0,,7.0
dobovec,Zasavska,2012-09-30,9.0,,4.0
hrastnik,Zasavska,2012-09-30,4.0,18.0,
kovk,Zasavska,2012-09-30,13.0,,3.0
kum,Zasavska,2012-09-30,2.0,,
prapretno,Zasavska,2012-09-30,,26.0,
ravenska vas,Zasavska,2012-09-30,11.0,,
trbovlje,Zasavska,2012-09-30,3.0,21.0,15.0
zagorje,Zasavska,2012-09-30,2.0,20.0,21.0
zelena trava,Zasavska,2012-09-30,2.0,15.0,2.0
kranj,Gorenjska,2012-10-31,,24.0,
gorenje polje,Goriška,2012-10-31,,22.0,
morsko,Goriška,2012-10-31,,18.0,
nova gorica,Goriška,2012-10-31,,21.0,25.0
iskrba,Jugovzhodna Slovenija,2012-10-31,3.0,17.0,2.0
novo mesto,Jugovzhodna Slovenija,2012-10-31,,27.0,
graska gora,Koroška,2012-10-31,1.0,,
zerjav,Koroška,2012-10-31,,23.0,
koper,Obalno-kraška,2012-10-31,,23.0,12.0
ljubljana bezigrad,Osrednjeslovenska,2012-10-31,3.0,22.0,21.0
ljubljana bf,Osrednjeslovenska,2012-10-31,,23.0,
ljubljana center,Osrednjeslovenska,2012-10-31,3.0,42.0,44.0
vnajnarje,Osrednjeslovenska,2012-10-31,3.0,18.0,11.0
maribor center,Podravska,2012-10-31,5.0,33.0,30.0
maribor vrbanski p.,Podravska,2012-10-31,,22.0,
maribor vrbanski plato,Podravska,2012-10-31,,,14.0
murska s. rakican,Pomurska,2012-10-31,,25.0,
murska sobota rakican,Pomurska,2012-10-31,,,20.0
brestanica-sv.mohor,Posavska,2012-10-31,3.0,,
pesje,Posavska,2012-10-31,4.0,21.0,
sveti mohor,Posavska,2012-10-31,,,7.0
celje,Savinjska,2012-10-31,6.0,26.0,24.0
skale,Savinjska,2012-10-31,8.0,20.0,9.0
sostanj,Savinjska,2012-10-31,2.0,,
topolsica,Savinjska,2012-10-31,2.0,,
velenje,Savinjska,2012-10-31,4.0,,
veliki vrh,Savinjska,2012-10-31,7.0,,
zavodnje,Savinjska,2012-10-31,6.0,,11.0
dobovec,Zasavska,2012-10-31,7.0,,8.0
hrastnik,Zasavska,2012-10-31,4.0,21.0,
kovk,Zasavska,2012-10-31,9.0,,11.0
kum,Zasavska,2012-10-31,5.0,,
prapretno,Zasavska,2012-10-31,,25.0,
ravenska vas,Zasavska,2012-10-31,6.0,,
trbovlje,Zasavska,2012-10-31,11.0,24.0,15.0
zagorje,Zasavska,2012-10-31,1.0,25.0,20.0
zelena trava,Zasavska,2012-10-31,2.0,16.0,9.0
kranj,Gorenjska,2012-11-30,,29.0,
gorenje polje,Goriška,2012-11-30,,23.0,
morsko,Goriška,2012-11-30,,21.0,
nova gorica,Goriška,2012-11-30,,28.0,30.0
iskrba,Jugovzhodna Slovenija,2012-11-30,5.0,17.0,2.0
novo mesto,Jugovzhodna Slovenija,2012-11-30,,35.0,
graska gora,Koroška,2012-11-30,2.0,,
zerjav,Koroška,2012-11-30,,30.0,
koper,Obalno-kraška,2012-11-30,,23.0,20.0
ljubljana bezigrad,Osrednjeslovenska,2012-11-30,5.0,27.0,29.0
ljubljana bf,Osrednjeslovenska,2012-11-30,,28.0,
ljubljana center,Osrednjeslovenska,2012-11-30,2.0,44.0,44.0
vnajnarje,Osrednjeslovenska,2012-11-30,2.0,18.0,11.0
maribor center,Podravska,2012-11-30,5.0,33.0,34.0
maribor vrbanski p.,Podravska,2012-11-30,,26.0,
maribor vrbanski plato,Podravska,2012-11-30,,,18.0
murska s. rakican,Pomurska,2012-11-30,,37.0,
murska sobota rakican,Pomurska,2012-11-30,,,20.0
brestanica-sv.mohor,Posavska,2012-11-30,5.0,,
pesje,Posavska,2012-11-30,4.0,22.0,
sveti mohor,Posavska,2012-11-30,,,9.0
celje,Savinjska,2012-11-30,7.0,41.0,29.0
skale,Savinjska,2012-11-30,9.0,21.0,11.0
sostanj,Savinjska,2012-11-30,3.0,,
topolsica,Savinjska,2012-11-30,2.0,,
velenje,Savinjska,2012-11-30,7.0,,
veliki vrh,Savinjska,2012-11-30,4.0,,
zavodnje,Savinjska,2012-11-30,4.0,,8.0
dobovec,Zasavska,2012-11-30,6.0,,4.0
hrastnik,Zasavska,2012-11-30,4.0,26.0,
kovk,Zasavska,2012-11-30,8.0,,14.0
kum,Zasavska,2012-11-30,4.0,,
prapretno,Zasavska,2012-11-30,,29.0,
ravenska vas,Zasavska,2012-11-30,11.0,,
trbovlje,Zasavska,2012-11-30,0.0,35.0,17.0
zagorje,Zasavska,2012-11-30,1.0,35.0,22.0
zelena trava,Zasavska,2012-11-30,2.0,18.0,15.0
kranj,Gorenjska,2012-12-31,,41.0,
gorenje polje,Goriška,2012-12-31,,25.0,
morsko,Goriška,2012-12-31,,25.0,
nova gorica,Goriška,2012-12-31,,32.0,41.0
iskrba,Jugovzhodna Slovenija,2012-12-31,2.0,9.0,3.0
novo mesto,Jugovzhodna Slovenija,2012-12-31,,43.0,
graska gora,Koroška,2012-12-31,2.0,,
zerjav,Koroška,2012-12-31,,37.0,
koper,Obalno-kraška,2012-12-31,,25.0,33.0
ljubljana bezigrad,Osrednjeslovenska,2012-12-31,2.0,42.0,49.0
ljubljana bf,Osrednjeslovenska,2012-12-31,,40.0,
ljubljana center,Osrednjeslovenska,2012-12-31,1.0,51.0,55.0
vnajnarje,Osrednjeslovenska,2012-12-31,4.0,15.0,16.0
maribor center,Podravska,2012-12-31,2.0,33.0,39.0
maribor vrbanski p.,Podravska,2012-12-31,,24.0,
maribor vrbanski plato,Podravska,2012-12-31,,,22.0
murska s. rakican,Pomurska,2012-12-31,,48.0,
murska sobota rakican,Pomurska,2012-12-31,,,26.0
brestanica-sv.mohor,Posavska,2012-12-31,5.0,,
pesje,Posavska,2012-12-31,3.0,19.0,
sveti mohor,Posavska,2012-12-31,,,14.0
celje,Savinjska,2012-12-31,10.0,48.0,37.0
skale,Savinjska,2012-12-31,9.0,17.0,13.0
sostanj,Savinjska,2012-12-31,2.0,,
topolsica,Savinjska,2012-12-31,2.0,,
velenje,Savinjska,2012-12-31,2.0,,
veliki vrh,Savinjska,2012-12-31,8.0,,
zavodnje,Savinjska,2012-12-31,4.0,,10.0
dobovec,Zasavska,2012-12-31,3.0,,9.0
hrastnik,Zasavska,2012-12-31,5.0,35.0,
kovk,Zasavska,2012-12-31,11.0,,14.0
kum,Zasavska,2012-12-31,2.0,,
prapretno,Zasavska,2012-12-31,,25.0,
ravenska vas,Zasavska,2012-12-31,6.0,,
trbovlje,Zasavska,2012-12-31,2.0,51.0,25.0
zagorje,Zasavska,2012-12-31,2.0,51.0,26.0
zelena trava,Zasavska,2012-12-31,3.0,16.0,16.0
kranj,Gorenjska,2013-01-31,,40.0,
nova gorica,Goriška,2013-01-31,,32.0,38.0
iskrba,Jugovzhodna Slovenija,2013-01-31,,12.0,
novo mesto,Jugovzhodna Slovenija,2013-01-31,,49.0,
graska gora,Koroška,2013-01-31,2.0,,
zerjav,Koroška,2013-01-31,,49.0,
koper,Obalno-kraška,2013-01-31,,28.0,34.0
lj bezigrad,Osrednjeslovenska,2013-01-31,4.0,,38.0
lj biotehnicna fak.,Osrednjeslovenska,2013-01-31,,36.0,
lj center,Osrednjeslovenska,2013-01-31,2.0,50.0,52.0
ljubljana bezigrad,Osrednjeslovenska,2013-01-31,,39.0,
vnajnarje,Osrednjeslovenska,2013-01-31,5.0,17.0,14.0
maribor center,Podravska,2013-01-31,,51.0,55.0
mb vrbanski plato,Podravska,2013-01-31,,,28.0
vrbanski plato,Podravska,2013-01-31,,33.0,
ms rakican,Pomurska,2013-01-31,,54.0,28.0
pesje,Posavska,2013-01-31,5.0,29.0,
amp gaji,Savinjska,2013-01-31,16.0,44.0,33.0
celje,Savinjska,2013-01-31,9.0,51.0,41.0
skale,Savinjska,2013-01-31,11.0,15.0,18.0
sostanj,Savinjska,2013-01-31,4.0,12.0,
sv. mohor,Savinjska,2013-01-31,7.0,,14.0
topolsica,Savinjska,2013-01-31,4.0,,
velenje,Savinjska,2013-01-31,1.0,31.0,
veliki vrh,Savinjska,2013-01-31,9.0,,
zavodnje,Savinjska,2013-01-31,6.0,,14.0
dobovec,Zasavska,2013-01-31,7.0,10.0,9.0
hrastnik,Zasavska,2013-01-31,8.0,33.0,
kovk,Zasavska,2013-01-31,9.0,16.0,13.0
kum,Zasavska,2013-01-31,5.0,,
prapretno,Zasavska,2013-01-31,,26.0,
ravenska vas,Zasavska,2013-01-31,6.0,,
trbovlje,Zasavska,2013-01-31,8.0,47.0,21.0
zagorje,Zasavska,2013-01-31,5.0,46.0,30.0
zelena trava,Zasavska,2013-01-31,4.0,18.0,17.0
kranj,Gorenjska,2013-02-28,,39.0,
nova gorica,Goriška,2013-02-28,,25.0,33.0
iskrba,Jugovzhodna Slovenija,2013-02-28,,18.0,
novo mesto,Jugovzhodna Slovenija,2013-02-28,,51.0,
graska gora,Koroška,2013-02-28,3.0,,
zerjav,Koroška,2013-02-28,,55.0,
koper,Obalno-kraška,2013-02-28,,19.0,22.0
lj bezigrad,Osrednjeslovenska,2013-02-28,3.0,,41.0
lj biotehnicna fak.,Osrednjeslovenska,2013-02-28,,36.0,
lj center,Osrednjeslovenska,2013-02-28,1.0,51.0,61.0
ljubljana bezigrad,Osrednjeslovenska,2013-02-28,,39.0,
vnajnarje,Osrednjeslovenska,2013-02-28,5.0,17.0,11.0
maribor center,Podravska,2013-02-28,,40.0,32.0
mb vrbanski plato,Podravska,2013-02-28,,,19.0
vrbanski plato,Podravska,2013-02-28,,28.0,
ms rakican,Pomurska,2013-02-28,,44.0,28.0
pesje,Posavska,2013-02-28,5.0,22.0,
amp gaji,Savinjska,2013-02-28,8.0,53.0,43.0
celje,Savinjska,2013-02-28,7.0,49.0,44.0
skale,Savinjska,2013-02-28,11.0,10.0,13.0
sostanj,Savinjska,2013-02-28,3.0,19.0,
sv. mohor,Savinjska,2013-02-28,6.0,,10.0
topolsica,Savinjska,2013-02-28,2.0,,
velenje,Savinjska,2013-02-28,1.0,29.0,
veliki vrh,Savinjska,2013-02-28,9.0,,
zavodnje,Savinjska,2013-02-28,4.0,,9.0
dobovec,Zasavska,2013-02-28,6.0,16.0,5.0
hrastnik,Zasavska,2013-02-28,11.0,35.0,
kovk,Zasavska,2013-02-28,10.0,16.0,10.0
kum,Zasavska,2013-02-28,5.0,,
prapretno,Zasavska,2013-02-28,,28.0,
ravenska vas,Zasavska,2013-02-28,10.0,,
trbovlje,Zasavska,2013-02-28,9.0,48.0,22.0
zagorje,Zasavska,2013-02-28,5.0,46.0,28.0
zelena trava,Zasavska,2013-02-28,5.0,21.0,12.0
kranj,Gorenjska,2013-03-31,,27.0,
nova gorica,Goriška,2013-03-31,,20.0,31.0
iskrba,Jugovzhodna Slovenija,2013-03-31,,13.0,
novo mesto,Jugovzhodna Slovenija,2013-03-31,,34.0,
graska gora,Koroška,2013-03-31,2.0,,
zerjav,Koroška,2013-03-31,,27.0,
koper,Obalno-kraška,2013-03-31,,20.0,22.0
lj bezigrad,Osrednjeslovenska,2013-03-31,6.0,,32.0
lj biotehnicna fak.,Osrednjeslovenska,2013-03-31,,29.0,
lj center,Osrednjeslovenska,2013-03-31,2.0,48.0,58.0
ljubljana bezigrad,Osrednjeslovenska,2013-03-31,,29.0,
vnajnarje,Osrednjeslovenska,2013-03-31,4.0,16.0,10.0
maribor center,Podravska,2013-03-31,,34.0,36.0
mb vrbanski plato,Podravska,2013-03-31,,,18.0
vrbanski plato,Podravska,2013-03-31,,22.0,
ms rakican,Pomurska,2013-03-31,,32.0,19.0
pesje,Posavska,2013-03-31,5.0,,
amp gaji,Savinjska,2013-03-31,7.0,30.0,33.0
celje,Savinjska,2013-03-31,4.0,35.0,34.0
skale,Savinjska,2013-03-31,6.0,26.0,10.0
sostanj,Savinjska,2013-03-31,5.0,15.0,
sv. mohor,Savinjska,2013-03-31,4.0,,6.0
topolsica,Savinjska,2013-03-31,2.0,,
velenje,Savinjska,2013-03-31,1.0,24.0,
veliki vrh,Savinjska,2013-03-31,3.0,,
zavodnje,Savinjska,2013-03-31,3.0,,8.0
dobovec,Zasavska,2013-03-31,6.0,10.0,4.0
hrastnik,Zasavska,2013-03-31,9.0,27.0,
kovk,Zasavska,2013-03-31,9.0,12.0,9.0
kum,Zasavska,2013-03-31,10.0,,
prapretno,Zasavska,2013-03-31,,20.0,
ravenska vas,Zasavska,2013-03-31,6.0,,
trbovlje,Zasavska,2013-03-31,6.0,37.0,17.0
zagorje,Zasavska,2013-03-31,5.0,37.0,23.0
zelena trava,Zasavska,2013-03-31,6.0,15.0,14.0
kranj,Gorenjska,2013-04-30,,21.0,
nova gorica,Goriška,2013-04-30,,21.0,24.0
iskrba,Jugovzhodna Slovenija,2013-04-30,,15.0,
novo mesto,Jugovzhodna Slovenija,2013-04-30,,25.0,
graska gora,Koroška,2013-04-30,3.0,,
zerjav,Koroška,2013-04-30,,23.0,
koper,Obalno-kraška,2013-04-30,,22.0,21.0
lj bezigrad,Osrednjeslovenska,2013-04-30,4.0,,27.0
lj biotehnicna fak.,Osrednjeslovenska,2013-04-30,,25.0,
lj center,Osrednjeslovenska,2013-04-30,4.0,37.0,44.0
ljubljana bezigrad,Osrednjeslovenska,2013-04-30,,21.0,
vnajnarje,Osrednjeslovenska,2013-04-30,2.0,20.0,8.0
maribor center,Podravska,2013-04-30,,32.0,30.0
mb vrbanski plato,Podravska,2013-04-30,,,12.0
vrbanski plato,Podravska,2013-04-30,,22.0,
ms rakican,Pomurska,2013-04-30,,27.0,16.0
pesje,Posavska,2013-04-30,4.0,25.0,
amp gaji,Savinjska,2013-04-30,8.0,25.0,25.0
celje,Savinjska,2013-04-30,3.0,28.0,22.0
skale,Savinjska,2013-04-30,7.0,20.0,6.0
sostanj,Savinjska,2013-04-30,4.0,14.0,
sv. mohor,Savinjska,2013-04-30,4.0,,2.0
topolsica,Savinjska,2013-04-30,2.0,,
velenje,Savinjska,2013-04-30,1.0,25.0,
veliki vrh,Savinjska,2013-04-30,2.0,,
zavodnje,Savinjska,2013-04-30,2.0,,4.0
dobovec,Zasavska,2013-04-30,4.0,13.0,4.0
hrastnik,Zasavska,2013-04-30,8.0,24.0,
kovk,Zasavska,2013-04-30,10.0,16.0,8.0
kum,Zasavska,2013-04-30,3.0,,
prapretno,Zasavska,2013-04-30,,24.0,
ravenska vas,Zasavska,2013-04-30,8.0,,
trbovlje,Zasavska,2013-04-30,3.0,29.0,14.0
zagorje,Zasavska,2013-04-30,5.0,27.0,20.0
zelena trava,Zasavska,2013-04-30,2.0,19.0,15.0
kranj,Gorenjska,2013-05-31,,13.0,
nova gorica,Goriška,2013-05-31,,15.0,18.0
iskrba,Jugovzhodna Slovenija,2013-05-31,,11.0,
novo mesto,Jugovzhodna Slovenija,2013-05-31,,15.0,
graska gora,Koroška,2013-05-31,5.0,,
zerjav,Koroška,2013-05-31,,15.0,
koper,Obalno-kraška,2013-05-31,,15.0,12.0
lj bezigrad,Osrednjeslovenska,2013-05-31,2.0,,22.0
lj biotehnicna fak.,Osrednjeslovenska,2013-05-31,,17.0,
lj center,Osrednjeslovenska,2013-05-31,2.0,32.0,37.0
ljubljana bezigrad,Osrednjeslovenska,2013-05-31,,14.0,
vnajnarje,Osrednjeslovenska,2013-05-31,2.0,16.0,7.0
maribor center,Podravska,2013-05-31,,20.0,24.0
mb vrbanski plato,Podravska,2013-05-31,,,8.0
vrbanski plato,Podravska,2013-05-31,,13.0,
ms rakican,Pomurska,2013-05-31,,15.0,11.0
pesje,Posavska,2013-05-31,4.0,17.0,
amp gaji,Savinjska,2013-05-31,6.0,15.0,15.0
celje,Savinjska,2013-05-31,2.0,16.0,12.0
skale,Savinjska,2013-05-31,7.0,16.0,5.0
sostanj,Savinjska,2013-05-31,2.0,7.0,
sv. mohor,Savinjska,2013-05-31,3.0,,4.0
topolsica,Savinjska,2013-05-31,2.0,,
velenje,Savinjska,2013-05-31,1.0,13.0,
veliki vrh,Savinjska,2013-05-31,0.0,,
zavodnje,Savinjska,2013-05-31,4.0,,3.0
dobovec,Zasavska,2013-05-31,4.0,13.0,8.0
hrastnik,Zasavska,2013-05-31,3.0,15.0,
kovk,Zasavska,2013-05-31,8.0,15.0,6.0
kum,Zasavska,2013-05-31,7.0,,
prapretno,Zasavska,2013-05-31,,17.0,
ravenska vas,Zasavska,2013-05-31,8.0,,
trbovlje,Zasavska,2013-05-31,2.0,17.0,9.0
zagorje,Zasavska,2013-05-31,3.0,18.0,15.0
zelena trava,Zasavska,2013-05-31,4.0,16.0,12.0
kranj,Gorenjska,2013-06-30,,14.0,
nova gorica,Goriška,2013-06-30,,16.0,17.0
iskrba,Jugovzhodna Slovenija,2013-06-30,,11.0,
novo mesto,Jugovzhodna Slovenija,2013-06-30,,13.0,
graska gora,Koroška,2013-06-30,1.0,,
zerjav,Koroška,2013-06-30,,15.0,
koper,Obalno-kraška,2013-06-30,,15.0,14.0
lj bezigrad,Osrednjeslovenska,2013-06-30,4.0,,19.0
lj biotehnicna fak.,Osrednjeslovenska,2013-06-30,,17.0,
lj center,Osrednjeslovenska,2013-06-30,3.0,30.0,35.0
ljubljana bezigrad,Osrednjeslovenska,2013-06-30,,13.0,
vnajnarje,Osrednjeslovenska,2013-06-30,4.0,22.0,6.0
maribor center,Podravska,2013-06-30,,22.0,27.0
mb vrbanski plato,Podravska,2013-06-30,,,7.0
vrbanski plato,Podravska,2013-06-30,,14.0,
ms rakican,Pomurska,2013-06-30,,16.0,12.0
pesje,Posavska,2013-06-30,4.0,19.0,
amp gaji,Savinjska,2013-06-30,3.0,13.0,7.0
celje,Savinjska,2013-06-30,2.0,15.0,12.0
skale,Savinjska,2013-06-30,3.0,16.0,6.0
sostanj,Savinjska,2013-06-30,4.0,9.0,
sv. mohor,Savinjska,2013-06-30,4.0,,4.0
topolsica,Savinjska,2013-06-30,2.0,,
velenje,Savinjska,2013-06-30,1.0,14.0,
veliki vrh,Savinjska,2013-06-30,4.0,,
zavodnje,Savinjska,2013-06-30,8.0,,5.0
dobovec,Zasavska,2013-06-30,8.0,9.0,9.0
hrastnik,Zasavska,2013-06-30,3.0,15.0,
kovk,Zasavska,2013-06-30,6.0,15.0,9.0
kum,Zasavska,2013-06-30,2.0,,
prapretno,Zasavska,2013-06-30,,19.0,
ravenska vas,Zasavska,2013-06-30,4.0,,
trbovlje,Zasavska,2013-06-30,2.0,17.0,9.0
zagorje,Zasavska,2013-06-30,1.0,16.0,21.0
zelena trava,Zasavska,2013-06-30,6.0,10.0,13.0
kranj,Gorenjska,2013-07-31,,20.0,
nova gorica,Goriška,2013-07-31,,17.0,17.0
iskrba,Jugovzhodna Slovenija,2013-07-31,,15.0,
novo mesto,Jugovzhodna Slovenija,2013-07-31,,15.0,
graska gora,Koroška,2013-07-31,2.0,,
zerjav,Koroška,2013-07-31,,18.0,
koper,Obalno-kraška,2013-07-31,,19.0,14.0
lj bezigrad,Osrednjeslovenska,2013-07-31,3.0,,20.0
lj biotehnicna fak.,Osrednjeslovenska,2013-07-31,,20.0,
lj center,Osrednjeslovenska,2013-07-31,3.0,36.0,36.0
ljubljana bezigrad,Osrednjeslovenska,2013-07-31,,17.0,
vnajnarje,Osrednjeslovenska,2013-07-31,3.0,39.0,3.0
maribor center,Podravska,2013-07-31,,28.0,32.0
mb vrbanski plato,Podravska,2013-07-31,,,7.0
vrbanski plato,Podravska,2013-07-31,,18.0,
ms rakican,Pomurska,2013-07-31,,19.0,11.0
pesje,Posavska,2013-07-31,5.0,24.0,
amp gaji,Savinjska,2013-07-31,3.0,17.0,10.0
celje,Savinjska,2013-07-31,2.0,19.0,14.0
skale,Savinjska,2013-07-31,8.0,20.0,5.0
sostanj,Savinjska,2013-07-31,5.0,11.0,
sv. mohor,Savinjska,2013-07-31,3.0,,4.0
topolsica,Savinjska,2013-07-31,4.0,,
velenje,Savinjska,2013-07-31,2.0,18.0,
veliki vrh,Savinjska,2013-07-31,3.0,,
zavodnje,Savinjska,2013-07-31,8.0,,8.0
dobovec,Zasavska,2013-07-31,7.0,14.0,8.0
hrastnik,Zasavska,2013-07-31,4.0,18.0,
kovk,Zasavska,2013-07-31,10.0,16.0,9.0
kum,Zasavska,2013-07-31,6.0,,
prapretno,Zasavska,2013-07-31,,23.0,
ravenska vas,Zasavska,2013-07-31,9.0,,
trbovlje,Zasavska,2013-07-31,3.0,20.0,10.0
zagorje,Zasavska,2013-07-31,3.0,19.0,18.0
zelena trava,Zasavska,2013-07-31,9.0,18.0,18.0
kranj,Gorenjska,2013-08-31,,17.0,
nova gorica,Goriška,2013-08-31,,16.0,17.0
iskrba,Jugovzhodna Slovenija,2013-08-31,,14.0,
novo mesto,Jugovzhodna Slovenija,2013-08-31,,16.0,
graska gora,Koroška,2013-08-31,3.0,,
zerjav,Koroška,2013-08-31,,19.0,
koper,Obalno-kraška,2013-08-31,,18.0,15.0
lj bezigrad,Osrednjeslovenska,2013-08-31,5.0,,21.0
lj biotehnicna fak.,Osrednjeslovenska,2013-08-31,,20.0,
lj center,Osrednjeslovenska,2013-08-31,2.0,33.0,38.0
ljubljana bezigrad,Osrednjeslovenska,2013-08-31,,16.0,
vnajnarje,Osrednjeslovenska,2013-08-31,4.0,30.0,4.0
maribor center,Podravska,2013-08-31,,24.0,31.0
mb vrbanski plato,Podravska,2013-08-31,,,5.0
vrbanski plato,Podravska,2013-08-31,,19.0,
ms rakican,Pomurska,2013-08-31,,19.0,10.0
pesje,Posavska,2013-08-31,5.0,23.0,
amp gaji,Savinjska,2013-08-31,1.0,23.0,13.0
celje,Savinjska,2013-08-31,2.0,19.0,18.0
skale,Savinjska,2013-08-31,7.0,19.0,4.0
sostanj,Savinjska,2013-08-31,6.0,10.0,
sv. mohor,Savinjska,2013-08-31,4.0,,4.0
topolsica,Savinjska,2013-08-31,4.0,,
velenje,Savinjska,2013-08-31,1.0,18.0,
veliki vrh,Savinjska,2013-08-31,5.0,,
zavodnje,Savinjska,2013-08-31,7.0,,7.0
dobovec,Zasavska,2013-08-31,7.0,14.0,10.0
hrastnik,Zasavska,2013-08-31,6.0,18.0,
kovk,Zasavska,2013-08-31,3.0,16.0,11.0
kum,Zasavska,2013-08-31,3.0,,
prapretno,Zasavska,2013-08-31,,25.0,
ravenska vas,Zasavska,2013-08-31,14.0,,
trbovlje,Zasavska,2013-08-31,3.0,20.0,10.0
zagorje,Zasavska,2013-08-31,7.0,17.0,21.0
zelena trava,Zasavska,2013-08-31,12.0,19.0,23.0
kranj,Gorenjska,2013-09-30,,14.0,
nova gorica,Goriška,2013-09-30,,15.0,19.0
iskrba,Jugovzhodna Slovenija,2013-09-30,,9.0,
novo mesto,Jugovzhodna Slovenija,2013-09-30,,13.0,
graska gora,Koroška,2013-09-30,4.0,,
zerjav,Koroška,2013-09-30,,13.0,
koper,Obalno-kraška,2013-09-30,,15.0,15.0
lj bezigrad,Osrednjeslovenska,2013-09-30,5.0,,22.0
lj biotehnicna fak.,Osrednjeslovenska,2013-09-30,,16.0,
lj center,Osrednjeslovenska,2013-09-30,2.0,31.0,39.0
ljubljana bezigrad,Osrednjeslovenska,2013-09-30,,12.0,
vnajnarje,Osrednjeslovenska,2013-09-30,5.0,32.0,6.0
maribor center,Podravska,2013-09-30,,20.0,29.0
mb vrbanski plato,Podravska,2013-09-30,,,6.0
vrbanski plato,Podravska,2013-09-30,,12.0,
ms rakican,Pomurska,2013-09-30,,15.0,11.0
pesje,Posavska,2013-09-30,4.0,17.0,
amp gaji,Savinjska,2013-09-30,3.0,20.0,13.0
celje,Savinjska,2013-09-30,3.0,17.0,24.0
skale,Savinjska,2013-09-30,6.0,14.0,5.0
sostanj,Savinjska,2013-09-30,1.0,7.0,
sv. mohor,Savinjska,2013-09-30,3.0,,5.0
topolsica,Savinjska,2013-09-30,3.0,,
velenje,Savinjska,2013-09-30,0.0,14.0,
veliki vrh,Savinjska,2013-09-30,2.0,,
zavodnje,Savinjska,2013-09-30,4.0,,6.0
dobovec,Zasavska,2013-09-30,8.0,9.0,23.0
hrastnik,Zasavska,2013-09-30,3.0,15.0,
kovk,Zasavska,2013-09-30,9.0,10.0,9.0
kum,Zasavska,2013-09-30,4.0,,
prapretno,Zasavska,2013-09-30,,17.0,
