Regija,Year,SO2,PM10,NO2,MRD
Zasavska,2009,6.026315789473684,33.416666666666664,12.791666666666666,0.9
Zasavska,2010,6.607142857142857,38.3125,14.833333333333334,0.9
Zasavska,2011,7.38452380952381,34.0,11.0,0.8
Zasavska,2012,6.21875,26.966666666666665,11.727272727272727,1.1
Zasavska,2013,6.354166666666667,21.178571428571427,16.6,1.0
Zasavska,2014,5.041666666666667,18.845238095238095,13.983333333333333,0.9
Zasavska,2015,5.072916666666667,20.214285714285715,14.583333333333334,0.7
Zasavska,2016,6.035714285714286,24.020833333333332,12.584905660377359,0.5
Zasavska,2017,6.125,26.170731707317074,19.586206896551722,0.7
Zasavska,2018,4.055555555555555,27.0,18.208333333333332,0.6
Zasavska,2019,2.909090909090909,22.72222222222222,19.583333333333332,0.9
Zasavska,2020,2.75,20.86111111111111,15.625,0.4
Zasavska,2021,2.75,19.756756756756758,18.529411764705884,0.5
Zasavska,2022,2.0833333333333335,19.583333333333332,17.916666666666668,0.5
