Postaja,Regija,Leto,Mesec,NO2
vnajnarje,Osrednjeslovenska,1999,Jan,13.0
eis celje,Savinjska,1999,Jan,
ljubljana f.,Osrednjeslovenska,1999,Feb,84.0
maribor,Podravska,1999,Feb,53.0
celje,Savinjska,1999,Feb,40.0
trbovlje,Zasavska,1999,Feb,33.0
zavodnje,Savinjska,1999,Feb,9.0
skale,Savinjska,1999,Feb,10.0
kovk,Zasavska,1999,Feb,15.0
vnajnarje,Osrednjeslovenska,1999,Feb,8.0
eis celje,Savinjska,1999,Feb,75.0
ljubljana f.,Osrednjeslovenska,1999,Mar,56.0
maribor,Podravska,1999,Mar,46.0
celje,Savinjska,1999,Mar,28.0
trbovlje,Zasavska,1999,Mar,28.0
zavodnje,Savinjska,1999,Mar,7.0
skale,Savinjska,1999,Mar,10.0
kovk,Zasavska,1999,Mar,9.0
vnajnarje,Osrednjeslovenska,1999,Mar,6.0
eis celje,Savinjska,1999,Mar,51.0
ljubljana f.,Osrednjeslovenska,1999,Apr,40.0
maribor,Podravska,1999,Apr,39.0
celje,Savinjska,1999,Apr,27.0
trbovlje,Zasavska,1999,Apr,26.0
zavodnje,Savinjska,1999,Apr,5.0
skale,Savinjska,1999,Apr,8.0
kovk,Zasavska,1999,Apr,10.0
vnajnarje,Osrednjeslovenska,1999,Apr,4.0
eis celje,Savinjska,1999,Apr,47.0
ljubljana f.,Osrednjeslovenska,1999,Maj,40.0
maribor,Podravska,1999,Maj,43.0
celje,Savinjska,1999,Maj,22.0
trbovlje,Zasavska,1999,Maj,23.0
zavodnje,Savinjska,1999,Maj,4.0
skale,Savinjska,1999,Maj,6.0
kovk,Zasavska,1999,Maj,6.0
vnajnarje,Osrednjeslovenska,1999,Maj,4.0
eis celje,Savinjska,1999,Maj,40.0
ljubljana f.,Osrednjeslovenska,1999,Jun,40.0
maribor,Podravska,1999,Jun,35.0
celje,Savinjska,1999,Jun,18.0
trbovlje,Zasavska,1999,Jun,23.0
zavodnje,Savinjska,1999,Jun,3.0
skale,Savinjska,1999,Jun,4.0
kovk,Zasavska,1999,Jun,4.0
vnajnarje,Osrednjeslovenska,1999,Jun,3.0
eis celje,Savinjska,1999,Jun,
ljubljana f.,Osrednjeslovenska,1999,Jul,38.0
maribor,Podravska,1999,Jul,26.0
celje,Savinjska,1999,Jul,22.0
trbovlje,Zasavska,1999,Jul,21.0
zavodnje,Savinjska,1999,Jul,3.0
skale,Savinjska,1999,Jul,3.0
kovk,Zasavska,1999,Jul,4.0
vnajnarje,Osrednjeslovenska,1999,Jul,3.0
eis celje,Savinjska,1999,Jul,34.0
ljubljana f.,Osrednjeslovenska,1999,Avg,43.0
maribor,Podravska,1999,Avg,28.0
celje,Savinjska,1999,Avg,19.0
trbovlje,Zasavska,1999,Avg,19.0
zavodnje,Savinjska,1999,Avg,1.0
skale,Savinjska,1999,Avg,4.0
kovk,Zasavska,1999,Avg,10.0
vnajnarje,Osrednjeslovenska,1999,Avg,2.0
eis celje,Savinjska,1999,Avg,33.0
ljubljana f.,Osrednjeslovenska,1999,Sep,49.0
maribor,Podravska,1999,Sep,38.0
celje,Savinjska,1999,Sep,24.0
trbovlje,Zasavska,1999,Sep,21.0
zavodnje,Savinjska,1999,Sep,2.0
skale,Savinjska,1999,Sep,5.0
kovk,Zasavska,1999,Sep,8.0
vnajnarje,Osrednjeslovenska,1999,Sep,4.0
eis celje,Savinjska,1999,Sep,36.0
ljubljana f.,Osrednjeslovenska,1999,Okt,49.0
maribor,Podravska,1999,Okt,32.0
celje,Savinjska,1999,Okt,27.0
trbovlje,Zasavska,1999,Okt,22.0
zavodnje,Savinjska,1999,Okt,5.0
skale,Savinjska,1999,Okt,6.0
kovk,Zasavska,1999,Okt,6.0
vnajnarje,Osrednjeslovenska,1999,Okt,3.0
eis celje,Savinjska,1999,Okt,
ljubljana f.,Osrednjeslovenska,1999,Nov,54.0
maribor,Podravska,1999,Nov,36.0
celje,Savinjska,1999,Nov,50.0
trbovlje,Zasavska,1999,Nov,28.0
zavodnje,Savinjska,1999,Nov,9.0
skale,Savinjska,1999,Nov,11.0
kovk,Zasavska,1999,Nov,10.0
vnajnarje,Osrednjeslovenska,1999,Nov,7.0
eis celje,Savinjska,1999,Nov,
ljubljana f.,Osrednjeslovenska,1999,Dec,50.0
maribor,Podravska,1999,Dec,50.0
celje,Savinjska,1999,Dec,46.0
trbovlje,Zasavska,1999,Dec,34.0
zavodnje,Savinjska,1999,Dec,11.0
skale,Savinjska,1999,Dec,14.0
kovk,Zasavska,1999,Dec,12.0
vnajnarje,Osrednjeslovenska,1999,Dec,8.0
eis celje,Savinjska,1999,Dec,
ljubljana f.,Osrednjeslovenska,2000,Jan,105.0
maribor,Podravska,2000,Jan,99.0
celje,Savinjska,2000,Jan,110.0
trbovlje,Zasavska,2000,Jan,64.0
zavodnje,Savinjska,2000,Jan,45.0
skale,Savinjska,2000,Jan,35.0
kovk,Zasavska,2000,Jan,26.0
vnajnarje,Osrednjeslovenska,2000,Jan,18.0
eis celje,Savinjska,2000,Jan,134.0
ljubljana f.,Osrednjeslovenska,2000,Feb,67.0
maribor,Podravska,2000,Feb,75.0
celje,Savinjska,2000,Feb,63.0
trbovlje,Zasavska,2000,Feb,100.0
zavodnje,Savinjska,2000,Feb,22.0
skale,Savinjska,2000,Feb,24.0
kovk,Zasavska,2000,Feb,22.0
vnajnarje,Osrednjeslovenska,2000,Feb,13.0
eis celje,Savinjska,2000,Feb,105.0
ljubljana f.,Osrednjeslovenska,2000,Mar,45.0
maribor,Podravska,2000,Mar,83.0
celje,Savinjska,2000,Mar,41.0
trbovlje,Zasavska,2000,Mar,45.0
zavodnje,Savinjska,2000,Mar,32.0
skale,Savinjska,2000,Mar,26.0
kovk,Zasavska,2000,Mar,24.0
vnajnarje,Osrednjeslovenska,2000,Mar,9.0
eis celje,Savinjska,2000,Mar,93.0
ljubljana f.,Osrednjeslovenska,2000,Apr,84.0
maribor,Podravska,2000,Apr,52.0
celje,Savinjska,2000,Apr,35.0
trbovlje,Zasavska,2000,Apr,39.0
zavodnje,Savinjska,2000,Apr,9.0
skale,Savinjska,2000,Apr,15.0
kovk,Zasavska,2000,Apr,14.0
vnajnarje,Osrednjeslovenska,2000,Apr,6.0
eis celje,Savinjska,2000,Apr,57.0
ljubljana f.,Osrednjeslovenska,2000,Maj,
maribor,Podravska,2000,Maj,100.0
celje,Savinjska,2000,Maj,32.0
trbovlje,Zasavska,2000,Maj,33.0
zavodnje,Savinjska,2000,Maj,15.0
skale,Savinjska,2000,Maj,16.0
kovk,Zasavska,2000,Maj,12.0
vnajnarje,Osrednjeslovenska,2000,Maj,4.0
eis celje,Savinjska,2000,Maj,61.0
ljubljana f.,Osrednjeslovenska,2000,Jun,45.0
maribor,Podravska,2000,Jun,57.0
celje,Savinjska,2000,Jun,41.0
trbovlje,Zasavska,2000,Jun,32.0
zavodnje,Savinjska,2000,Jun,20.0
skale,Savinjska,2000,Jun,22.0
kovk,Zasavska,2000,Jun,15.0
vnajnarje,Osrednjeslovenska,2000,Jun,7.0
eis celje,Savinjska,2000,Jun,47.0
ljubljana f.,Osrednjeslovenska,2000,Jul,38.0
maribor,Podravska,2000,Jul,45.0
celje,Savinjska,2000,Jul,36.0
trbovlje,Zasavska,2000,Jul,33.0
zavodnje,Savinjska,2000,Jul,8.0
skale,Savinjska,2000,Jul,13.0
kovk,Zasavska,2000,Jul,11.0
vnajnarje,Osrednjeslovenska,2000,Jul,7.0
eis celje,Savinjska,2000,Jul,56.0
ljubljana f.,Osrednjeslovenska,2000,Avg,33.0
maribor,Podravska,2000,Avg,58.0
celje,Savinjska,2000,Avg,25.0
trbovlje,Zasavska,2000,Avg,40.0
zavodnje,Savinjska,2000,Avg,14.0
skale,Savinjska,2000,Avg,23.0
kovk,Zasavska,2000,Avg,9.0
vnajnarje,Osrednjeslovenska,2000,Avg,7.0
