Postaja,Leto,PM10 - Dnevnih presežkov
maribor vrbanski plato,2011,25.0
kranj,2011,55.0
novo mesto,2011,69.0
celje,2011,73.0
trbovlje,2011,68.0
hrastnik,2011,51.0
zagorje,2011,75.0
murska s.-rakican,2011,71.0
nova gorica,2011,28.0
koper,2011,21.0
zerjav,2011,79.0
iskrba,2011,3.0
pesje,2011,16.0
skale,2011,20.0
prapretno,2011,49.0
oms ljubljana center,2011,94.0
te-to ljubljana (vnajnarje),2011,12.0
eis anhovo (morsko),2011,13.0
eis anhovo (gor.polje),2011,18.0
ljubljana bezigrad,2012,27.0
ljubljana biotehniska f.,2012,21.0
maribor center,2012,34.0
maribor vrbanski plato,2012,8.0
kranj,2012,27.0
novo mesto,2012,45.0
celje,2012,55.0
trbovlje,2012,65.0
hrastnik,2012,17.0
zagorje,2012,62.0
murska sobota rakican,2012,44.0
nova gorica,2012,19.0
koper,2012,23.0
zerjav,2012,44.0
iskrba,2012,1.0
sostanj,2012,
pesje,2012,16.0
skale,2012,20.0
prapretno,2012,25.0
oms ljubljana center,2012,107.0
te-to ljubljana,2012,8.0
eis anhovo (morsko),2012,10.0
eis anhovo (gor.polje),2012,11.0
ljubljana bezigrad,2013,22.0
maribor,2013,36.0
celje,2013,51.0
murska sobota-rakican,2013,38.0
nova gorica,2013,12.0
trbovlje,2013,50.0
zagorje,2013,48.0
hrastnik,2013,15.0
koper,2013,10.0
zerjav,2013,37.0
lj biotehnicna fakulteta,2013,24.0
kranj,2013,28.0
novo mesto,2013,49.0
velenje,2013,8.0
pesje,2013,6.0
prapretno,2013,3.0
kovk,2013,1.0
dobovec,2013,1.0
ljubljana center,2013,74.0
vnajnarje,2013,3.0
amp gaji,2013,35.0
mb vrbanski pl.,2013,7.0
eis anhovo (morsko),2013,3.0
eis anhovo (gor.polje),2013,5.0
ljubljana bezigrad,2014,19.0
maribor,2014,25.0
celje,2014,41.0
ms rakican,2014,33.0
nova gorica,2014,19.0
trbovlje,2014,33.0
zagorje,2014,38.0
hrastnik,2014,10.0
koper,2014,16.0
zerjav,2014,3.0
lj biotehniska fakulteta,2014,12.0
kranj,2014,12.0
novo mesto,2014,22.0
velenje,2014,15.0
pesje,2014,12.0
skale,2014,5.0
prapretno,2014,2.0
ljubljana center,2014,55.0
amp gaji,2014,41.0
mb vrbanski plato,2014,10.0
eis anhovo (morsko),2014,8.0
eis anhovo (gor.polje),2014,11.0
lj bezigrad,2015,43.0
maribor,2015,34.0
celje,2015,70.0
ms rakican,2015,47.0
nova gorica,2015,24.0
trbovlje,2015,50.0
zagorje,2015,70.0
hrastnik,2015,22.0
koper,2015,28.0
lj biotehniska,2015,35.0
kranj,2015,17.0
novo mesto,2015,40.0
velenje,2015,9.0
pesje,2015,9.0
prapretno,2015,20.0
lj center,2015,85.0
amp gaji,2015,76.0
mb vrbanski,2015,3.0
eis anhovo (morsko),2015,7.0
eis anhovo (gor.polje),2015,12.0
lj bezigrad,2016,36.0
maribor,2016,43.0
celje,2016,53.0
ms rakican,2016,42.0
nova gorica,2016,15.0
trbovlje,2016,38.0
zagorje,2016,51.0
hrastnik,2016,25.0
koper,2016,11.0
zerjav,2016,19.0
lj biotehniska,2016,40.0
kranj,2016,27.0
novo mesto,2016,41.0
velenje,2016,10.0
pesje,2016,8.0
skale,2016,1.0
sostanj,2016,3.0
prapretno,2016,1.0
lj center,2016,66.0
vnajnarje,2016,2.0
amp gaji,2016,45.0
mb vrbanski,2016,21.0
morsko,2016,6.0
gorenje polje,2016,3.0
miklavz,2016,45.0
lj bezigrad,2017,30.0
lj biotehniska,2017,32.0
lj gospodarsko,2017,39.0
maribor,2017,35.0
celje,2017,49.0
ce mariborska,2017,57.0
ms rakican,2017,44.0
nova gorica,2017,24.0
ng grcna,2017,21.0
trbovlje,2017,39.0
zagorje,2017,46.0
hrastnik,2017,19.0
koper,2017,18.0
iskrba,2017,3.0
zerjav,2017,9.0
kranj,2017,28.0
novo mesto,2017,33.0
velenje,2017,19.0
pesje,2017,20.0
skale,2017,9.0
sostanj,2017,14.0
lj center,2017,51.0
vnajnarje,2017,8.0
ce gaji,2017,39.0
mb vrbanski,2017,21.0
morsko,2017,6.0
gorenje polje,2017,7.0
miklavz,2017,39.0
ptuj,2017,38.0
ruse,2017,17.0
lj bezigrad,2018,28.0
lj biotehniska,2018,16.0
lj gospodarsko,2018,20.0
maribor,2018,30.0
celje,2018,35.0
ce mariborska,2018,45.0
ms rakican,2018,34.0
ms cankarjeva,2018,46.0
nova gorica,2018,6.0
ng grcna,2018,5.0
trbovlje,2018,37.0
zagorje,2018,55.0
hrastnik,2018,11.0
koper,2018,4.0
iskrba,2018,2.0
zerjav,2018,5.0
kranj,2018,13.0
novo mesto,2018,31.0
velenje,2018,2.0
pesje,2018,3.0
