Postaja,Leto,Mesec,SO2
ljubljana bezigrad,2000,Avg,16.0
maribor center,2000,Avg,24.0
celje,2000,Avg,19.0
ms rakican,2000,Avg,19.0
nova gorica,2000,Avg,16.0
trbovlje,2000,Avg,20.0
zagorje,2000,Avg,17.0
hrastnik,2000,Avg,18.0
koper,2000,Avg,18.0
iskrba,2000,Avg,14.0
zerjav,2000,Avg,19.0
lj biotehnicna fak.,2000,Avg,20.0
kranj,2000,Avg,17.0
novo mesto,2000,Avg,16.0
velenje,2000,Avg,18.0
vrbanski plato,2000,Avg,19.0
sostanj,2000,Avg,10.0
pesje,2000,Avg,23.0
skale,2000,Avg,19.0
kovk,2000,Avg,16.0
dobovec,2000,Avg,14.0
prapretno,2000,Avg,25.0
lj center,2000,Avg,33.0
vnajnarje,2000,Avg,30.0
zelena trava,2000,Avg,19.0
amp gaji,2000,Avg,23.0
ljubljana bezigrad,2000,Sep,12.0
maribor center,2000,Sep,20.0
celje,2000,Sep,17.0
ms rakican,2000,Sep,15.0
nova gorica,2000,Sep,15.0
trbovlje,2000,Sep,20.0
zagorje,2000,Sep,17.0
hrastnik,2000,Sep,15.0
koper,2000,Sep,15.0
iskrba,2000,Sep,9.0
zerjav,2000,Sep,13.0
lj biotehnicna fak.,2000,Sep,16.0
kranj,2000,Sep,14.0
novo mesto,2000,Sep,13.0
velenje,2000,Sep,14.0
vrbanski plato,2000,Sep,12.0
sostanj,2000,Sep,7.0
pesje,2000,Sep,17.0
skale,2000,Sep,14.0
kovk,2000,Sep,10.0
dobovec,2000,Sep,9.0
prapretno,2000,Sep,17.0
lj center,2000,Sep,31.0
vnajnarje,2000,Sep,32.0
zelena trava,2000,Sep,32.0
amp gaji,2000,Sep,20.0
ljubljana bezigrad,2000,Okt,20.0
maribor center,2000,Okt,28.0
celje,2000,Okt,24.0
ms rakican,2000,Okt,25.0
nova gorica,2000,Okt,23.0
trbovlje,2000,Okt,25.0
zagorje,2000,Okt,24.0
hrastnik,2000,Okt,21.0
koper,2000,Okt,22.0
iskrba,2000,Okt,13.0
zerjav,2000,Okt,19.0
lj biotehnicna fak.,2000,Okt,22.0
kranj,2000,Okt,22.0
novo mesto,2000,Okt,23.0
velenje,2000,Okt,20.0
vrbanski plato,2000,Okt,19.0
sostanj,2000,Okt,11.0
pesje,2000,Okt,22.0
skale,2000,Okt,20.0
kovk,2000,Okt,12.0
dobovec,2000,Okt,12.0
prapretno,2000,Okt,20.0
lj center,2000,Okt,40.0
vnajnarje,2000,Okt,30.0
zelena trava,2000,Okt,16.0
amp gaji,2000,Okt,28.0
ljubljana bezigrad,2000,Nov,22.0
maribor center,2000,Nov,24.0
celje,2000,Nov,27.0
ms rakican,2000,Nov,29.0
nova gorica,2000,Nov,18.0
trbovlje,2000,Nov,30.0
zagorje,2000,Nov,27.0
hrastnik,2000,Nov,21.0
koper,2000,Nov,13.0
iskrba,2000,Nov,8.0
zerjav,2000,Nov,21.0
lj biotehnicna fak.,2000,Nov,27.0
kranj,2000,Nov,22.0
novo mesto,2000,Nov,25.0
velenje,2000,Nov,17.0
vrbanski plato,2000,Nov,14.0
sostanj,2000,Nov,11.0
pesje,2000,Nov,17.0
skale,2000,Nov,14.0
kovk,2000,Nov,7.0
dobovec,2000,Nov,6.0
prapretno,2000,Nov,18.0
lj center,2000,Nov,34.0
vnajnarje,2000,Nov,28.0
zelena trava,2000,Nov,12.0
amp gaji,2000,Nov,26.0
ljubljana bezigrad,2000,Dec,48.0
maribor center,2000,Dec,40.0
celje,2000,Dec,53.0
ms rakican,2000,Dec,44.0
nova gorica,2000,Dec,40.0
trbovlje,2000,Dec,55.0
zagorje,2000,Dec,58.0
hrastnik,2000,Dec,39.0
koper,2000,Dec,34.0
iskrba,2000,Dec,11.0
zerjav,2000,Dec,39.0
